event,node,start,end
form start,,1638084871491,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638084871492,1638084874869
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638084874878,1638084956400
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638084956410,1638084958288
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638084958297,1638084960637
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638084960645,1638084964627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638084964635,1638084965291
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638084965301,1638084966383
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638084966391,1638084968866
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638084968874,1638084969874
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638084969883,1638084976181
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638084976189,1638084986820
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638084986829,1638084995431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638084995440,1638084997344
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638084997353,1638084998589
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638084998598,1638084999703
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638084999711,1638085016960
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638085016969,1638085131695
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638085131750,1638085134309
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638085134318,1638085135486
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638085135546,1638085146959
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638085146968,1638085171076
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638085171138,1638085173825
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638085173834,1638085174901
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638085174963,1638085176002
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638085176011,1638085183301
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638085183310,1638085191861
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638085191870,1638085198860
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638085198868,1638085202385
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638085202394,1638085204147
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638085204156,1638085215186
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638085215196,1638085231361
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638085231369,1638085233921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638085233930,1638085236248
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638085236257,1638085249049
