event,node,start,end
form start,,1638171686974,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638171686975,1638171689841
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638171689849,1638171755391
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638171755398,1638171756898
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638171756907,1638171758466
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638171758475,1638171760544
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1638171760552,1638171761824
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1638171761834,1638171763752
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638171763759,1638171766312
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638171766319,1638171767942
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1638171767951,1638171769305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638171769313,1638171812561
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638171812569,1638171854166
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638171854217,1638171855235
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638171855243,1638171857579
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638171857588,1638171868949
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638171868957,1638171878841
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638171878850,1638171879754
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638171879763,1638171880554
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638171880562,1638171881518
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638171881526,1638171882577
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638171882628,1638171885441
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638171885450,1638171892019
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638171892080,1638171892739
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638171892747,1638171893487
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638171893496,1638171894485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638171894494,1638171914268
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638171914276,1638171926187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638171926195,1638171927799
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638171927807,1638171954847
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638171954854,1638171964423
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638171964430,1638171965968
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638171965976,1638171985535
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638171985543,1638171986915
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638171986922,1638171995493
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638171995501,1638171996956
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638171996964,1638171999383
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638171999391,1638172010290
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638172010298,1638172094500
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638172094588,1638172129969
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638172130001,1638172148751
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638172148759,1638172176796
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638172176803,1638172177777
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638172177784,1638172179172
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638172179180,1638172197526
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638172197534,1638172210924
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638172210932,1638172222678
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638172222686,1638172226753
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638172226762,1638172235649
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_edu,1638172235657,1638172239303
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638172239311,1638172240483
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638172240491,1638172260051
