event,node,start,end
form start,,1638181770527,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638181770528,1638181773932
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638181773942,1638181837150
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638181837158,1638181838576
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638181838586,1638181839860
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638181839868,1638181841139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638181841149,1638181845028
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638181845037,1638181846509
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638181846518,1638181849934
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638181849943,1638181967102
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638181967155,1638181968456
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638181968465,1638181970816
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638181970826,1638181976785
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638181976794,1638181980093
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638181980102,1638181990882
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638181990891,1638181992428
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638181992437,1638181998297
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638181998308,1638182005562
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638182005571,1638182007540
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638182007549,1638182009301
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638182009309,1638182015968
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638182015976,1638182031179
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638182031188,1638182089336
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638182089418,1638182132689
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638182132740,1638182148712
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638182148721,1638182150623
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638182150631,1638182151886
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638182151896,1638182152900
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638182152909,1638182155926
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1638182155935,1638182158387
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638182158395,1638182160266
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638182160274,1638182183108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638182183117,1638182191952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638182191961,1638182194564
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638182194572,1638182216689
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638182216698,1638182333690
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638182333745,1638182383478
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638182383524,1638182392671
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638182392680,1638182398107
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638182398116,1638182436958
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638182436985,1638182444356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638182444364,1638182452518
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638182452526,1638182461728
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638182461736,1638182470871
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638182470879,1638182473897
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638182473905,1638182478916
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638182478924,1638182481477
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638182481485,1638182488193
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638182488202,1638182504967
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638182504975,1638182505764
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638182505773,1638182531017
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638182531027,1638182546212
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638182546220,1638182547125
end screen,,1638182547134,1638182569562
form save,,1638182569772,
form exit,,1638182569772,
form finalize,,1638182569772,
