event,node,start,end
form start,,1638188401756,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638188401757,1638188404424
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638188404434,1638188524667
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638188524675,1638188525731
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638188525740,1638188531284
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638188531293,1638188533156
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638188533166,1638188534358
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638188534369,1638188541540
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638188541548,1638188547242
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638188547251,1638188549503
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638188549512,1638188556037
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638188556047,1638188603029
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638188603087,1638188604430
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638188604439,1638188609898
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638188609908,1638188617213
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638188617222,1638188626107
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638188626116,1638188636314
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638188636323,1638188638077
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638188638085,1638188664060
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638188664069,1638188675281
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638188675290,1638188677176
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638188677185,1638188681682
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638188681690,1638188682298
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638188682306,1638188687035
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638188687043,1638188688033
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638188688041,1638188690327
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638188690337,1638188699520
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638188699528,1638188701151
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638188701160,1638189060143
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638189060214,1638189143110
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638189143156,1638189168641
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638189168649,1638189178116
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638189178125,1638189228705
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638189228714,1638189230633
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638189230642,1638189235836
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638189235846,1638189241638
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638189241647,1638189262702
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638189262711,1638189275022
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638189275031,1638189290580
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638189290588,1638189292773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638189292781,1638189317312
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638189317320,1638189572361
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638189572417,1638189771866
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638189771921,1638189786410
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1638189786419,1638189790516
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638189790526,1638189796934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1638189796942,1638189801040
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638189801049,1638189823865
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1638189823892,1638189824946
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638189824954,1638189903030
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638189903055,1638189921067
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638189921076,1638189938938
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638189938946,1638189990438
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638189990448,1638190006497
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638190006505,1638190028557
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638190028566,1638190033910
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts_other,1638190033919,1638190040311
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638190040319,1638190043669
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1638190043677,1638190046510
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638190046520,1638190062288
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638190062297,1638190087640
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638190087649,1638190091978
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638190091986,1638190109416
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638190109425,1638190139492
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638190139500,1638190140504
end screen,,1638190140512,1638190155776
form save,,1638190156027,
form exit,,1638190156027,
form finalize,,1638190156027,
