event,node,start,end
form start,,1637658295286,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637658295287,1637658301676
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637658301698,1637658419706
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637658419720,1637658421230
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637658421244,1637658422596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637658422609,1637658423955
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637658423967,1637658428770
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637658428784,1637658434837
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637658434849,1637658449955
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637658449973,1637658489293
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637658489364,1637658491925
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637658491935,1637658493223
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637658493283,1637658494894
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637658494903,1637658496944
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637658497023,1637658498157
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637658498168,1637658507295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637658507305,1637658509159
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637658509172,1637658524298
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637658524315,1637658528020
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637658528029,1637658529632
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637658529643,1637658545922
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637658545940,1637658560058
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637658560075,1637658568519
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637658568536,1637658576427
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637658576437,1637658578999
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637658579014,1637658582664
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637658582677,1637658803783
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637658803883,1637658885161
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637658885211,1637658905349
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637658905359,1637658906857
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637658906871,1637658923083
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637658923102,1637658932828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_no_help_escalation_priorities,1637658932846,1637658935006
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637658935020,1637658939283
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637658939300,1637658942041
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637658942056,1637658944715
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637658944731,1637658946076
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637658946092,1637658973798
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637658973808,1637659176677
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637659176742,1637659178625
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637659178645,1637659179778
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637659179788,1637659180717
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637659180727,1637659181854
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637659181868,1637659182961
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_no_help_escalation_priorities,1637659182970,1637659184130
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637659184139,1637659185198
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637659185207,1637659186371
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637659186380,1637659187501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637659187514,1637659188528
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637659188538,1637659197274
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637659197327,1637659202217
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637659202340,1637659202777
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637659202789,1637659204489
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637659204498,1637659208428
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637659208442,1637659213522
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637659213635,1637659216587
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637659216600,1637659218596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637659218611,1637659221209
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637659221222,1637659222109
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637659222119,1637659223388
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637659223399,1637659228494
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637659228634,1637659229000
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637659229041,1637659229243
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637659229256,1637659231084
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637659231096,1637659232359
