event,node,start,end
form start,,1637576674758,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637576674759,1637576679860
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637576679870,1637576681541
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637576681555,1637576682943
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637576682962,1637576684513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637576684524,1637576851120
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637576851134,1637576853060
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637576853069,1637576856498
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637576856509,1637576860729
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637576860738,1637576862146
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637576862158,1637576863378
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637576863394,1637576879313
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637576879321,1637576943490
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637576943547,1637576947672
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637576947681,1637576960992
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637576961004,1637576965423
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637576965433,1637576968984
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637576968993,1637576979640
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637576979649,1637576981138
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637576981147,1637576993217
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637576993229,1637577020537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637577020549,1637577022968
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637577022978,1637577023959
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637577023968,1637577028960
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637577028969,1637577036122
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637577036133,1637577038328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637577038340,1637577041044
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637577041057,1637577093308
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637577093422,1637577138219
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637577138289,1637577154688
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637577154702,1637577156063
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637577156076,1637577163834
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637577163844,1637577176627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637577176639,1637577187699
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637577187713,1637577193859
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637577193871,1637577195195
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637577195254,1637577197233
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637577197244,1637577289176
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637577289232,1637577363481
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637577363554,1637577367969
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637577367980,1637577376622
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637577376635,1637577378767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637577378776,1637577379253
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637577379264,1637577392292
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637577392301,1637577394740
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637577394755,1637577402102
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637577402110,1637577403276
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637577403284,1637577403964
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637577403974,1637577426873
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637577426905,1637577432129
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637577432143,1637577435348
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637577435359,1637577444356
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637577444364,1637577445752
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637577445763,1637577448402
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637577448415,1637577461313
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637577461323,1637577462870
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637577462879,1637577463841
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637577463849,1637577464750
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637577464759,1637577466611
