event,node,start,end
form start,,1638089277711,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638089277712,1638089303746
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638089303755,1638089308002
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638089308010,1638089336794
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638089336803,1638089350626
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638089350635,1638089352282
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638089352292,1638089353585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638089353593,1638089355996
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638089356004,1638089367067
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638089367076,1638089369062
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638089369071,1638089377058
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638089377066,1638089381309
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638089381363,1638089439972
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638089439980,1638089466984
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638089467044,1638089468100
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638089468108,1638089474817
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638089474826,1638089484358
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638089484367,1638089485723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638089485732,1638089498040
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638089498049,1638089500384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638089500393,1638089508563
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638089508573,1638089510026
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638089510035,1638089519502
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638089519511,1638089537374
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638089537382,1638089539667
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638089539676,1638089543723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638089543732,1638089564537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638089564545,1638089566168
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638089566177,1638089804616
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638089804707,1638089879533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638089879570,1638089904650
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638089904659,1638089919213
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638089919222,1638090004230
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638090004239,1638090019622
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638090019631,1638090084724
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638090084733,1638090086136
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638090086145,1638090091872
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638090091881,1638090093317
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638090093327,1638090100782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638090100791,1638090102127
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638090102136,1638090106684
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638090106693,1638090108030
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638090108039,1638090119485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638090119494,1638090120780
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638090120789,1638090127098
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638090127107,1638090128395
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638090128403,1638090139616
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_no_help_escalation_priorities,1638090139625,1638090149923
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638090149932,1638090151204
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638090151212,1638090153763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638090153773,1638090160447
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638090160456,1638090162208
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638090162216,1638090163704
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_no_help_escalation_priorities,1638090163714,1638090177319
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638090177328,1638090179147
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_no_help_escalation_priorities,1638090179156,1638090181858
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638090181867,1638090197221
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638090197231,1638090210286
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources_other,1638090210296,1638090227541
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638090227551,1638090410793
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638090410847,1638090503736
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638090503780,1638090522968
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638090522979,1638090525130
