event,node,start,end
form start,,1637666676017,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637666676018,1637666725255
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637666725264,1637666969293
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637666969303,1637666972364
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637666972377,1637666974686
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637666974696,1637666979115
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637666979124,1637666998204
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637666998213,1637667000282
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637667000295,1637667002506
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637667002515,1637667074785
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637667074849,1637667076016
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637667076028,1637667078678
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637667078689,1637667100924
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637667100936,1637667107366
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637667107378,1637667118991
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637667119000,1637667120941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637667120950,1637667130985
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637667130994,1637667141603
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637667141612,1637667147600
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637667147609,1637667152259
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637667152269,1637667161635
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637667161646,1637667166504
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637667166515,1637667292809
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637667292878,1637667355939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637667356000,1637667358953
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637667358963,1637667361112
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637667361124,1637667420647
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637667420657,1637667424677
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637667424687,1637667427507
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637667427516,1637667428452
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637667428461,1637667432901
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637667432910,1637667433781
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637667433792,1637667435962
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637667435975,1637667438225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637667438234,1637667442950
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637667442959,1637667466875
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637667466885,1637667468926
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637667468940,1637667470792
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_edu,1637667470802,1637667472325
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637667472337,1637667473898
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637667473910,1637667489065
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637667489073,1637667636844
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637667636909,1637667716201
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637667716268,1637667736548
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637667736557,1637667738393
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637667738406,1637667762955
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637667762988,1637667765553
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637667765566,1637667775559
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637667775573,1637667793418
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637667793432,1637667794865
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637667794880,1637667798829
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637667798840,1637667811245
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637667811253,1637667813593
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637667813602,1637667830650
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637667830662,1637667836983
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637667836992,1637667838198
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637667838207,1637667862260
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637667862269,1637667907176
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637667907185,1637667908160
end screen,,1637667908169,1637667929628
form save,,1637667930147,
form exit,,1637667930148,
form resume,,1637673620641,
jump,,1637673620642,1637673627817
end screen,,1637673627845,1637673629503
form save,,1637673630056,
form exit,,1637673630057,
form finalize,,1637673630057,
