event,node,start,end
form start,,1637669186546,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637669186547,1637669190593
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637669190602,1637669192232
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637669192245,1637669232443
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637669232452,1637669236721
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637669236731,1637669238921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637669238935,1637669242217
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637669242226,1637669243792
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637669243803,1637669256651
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637669256660,1637669258516
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637669258529,1637669261325
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637669261339,1637669315975
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637669316034,1637669317463
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637669317473,1637669318869
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637669318928,1637669320358
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637669320367,1637669321952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637669322019,1637669322769
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637669322778,1637669328266
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637669328278,1637669329041
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637669329051,1637669330340
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637669330351,1637669340526
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637669340535,1637669342394
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637669342406,1637669361859
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637669361868,1637669367540
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637669367549,1637669375384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637669375399,1637669383831
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637669383843,1637669389055
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637669389066,1637669414662
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637669414673,1637669442883
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637669442912,1637669443989
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637669443998,1637669446528
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637669446537,1637669470104
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637669470117,1637669652194
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637669652278,1637669731359
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637669731401,1637669768943
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637669768952,1637669771101
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637669771114,1637669772023
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637669772034,1637669775585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637669775600,1637669829953
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637669829962,1637669835610
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637669835620,1637669846465
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637669846474,1637669847912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637669847921,1637669850030
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637669850040,1637669850786
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637669850798,1637669859407
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637669859416,1637669860663
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637669860672,1637669862109
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637669862118,1637669863576
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637669863585,1637669907937
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637669907946,1637669909174
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637669909182,1637669935165
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637669935173,1637669936526
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637669936534,1637669943315
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637669943330,1637669944113
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637669944125,1637669946043
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637669946056,1637669964906
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637669964919,1637669974293
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637669974307,1637670221192
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637670221254,1637670351364
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637670351417,1637670352427
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637670352436,1637670354233
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637670354284,1637670355680
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637670355736,1637670359286
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637670359364,1637670423240
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637670423249,1637670426702
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637670426711,1637670578194
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637670578227,1637670588871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637670588881,1637670593564
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637670593574,1637670639360
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637670639370,1637670651719
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637670651727,1637670654571
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637670654580,1637670660571
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637670660579,1637670670861
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637670670870,1637670674596
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637670674610,1637670678285
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637670678293,1637670681180
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637670681188,1637670689856
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637670689872,1637670692458
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637670692467,1637670729909
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637670729920,1637670734776
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637670734789,1637670773476
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637670773492,1637670776498
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637670776506,1637670784505
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637670784514,1637670791198
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637670791207,1637670794113
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637670794124,1637670821154
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637670821166,1637670850648
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637670850658,1637670851424
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637670851434,1637670852010
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637670852020,1637670852639
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637670852649,1637670853123
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637670853133,1637670853646
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637670853664,1637670854143
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637670854157,1637670855342
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637670855353,1637670856348
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637670856358,1637670857333
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637670857342,1637670857836
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637670857846,1637670858402
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637670858415,1637670858926
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637670858940,1637670860373
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637670860415,1637670861586
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637670861596,1637670862508
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637670862517,1637670864607
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637670864685,1637670871403
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637670871462,1637670874297
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637670874350,1637670875363
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637670875375,1637670876558
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637670876567,1637670878884
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637670878913,1637670880015
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637670880025,1637670880979
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637670880989,1637670881859
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637670881868,1637670883368
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637670883378,1637670883892
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637670883905,1637670884416
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637670884426,1637670885065
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637670885074,1637670885883
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637670885898,1637670886785
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637670886798,1637670887643
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637670887652,1637670888271
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637670888285,1637670888900
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637670888912,1637670920246
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637670920258,1637670921924
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637670921933,1637670922680
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637670922690,1637670924757
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637670924767,1637670925890
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637670925899,1637670926833
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637670926843,1637670927567
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637670927576,1637670942062
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637670942071,1637670942922
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637670942933,1637670946047
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637670946056,1637670960909
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637670960919,1637670962250
end screen,,1637670962259,1637670984795
form save,,1637670985269,
form exit,,1637670985269,
form resume,,1637673739960,
jump,,1637673739961,1637673741051
end screen,,1637673741077,1637673742585
form save,,1637673743076,
form exit,,1637673743076,
form finalize,,1637673743076,
