event,node,start,end
form start,,1637824675143,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637824675145,1637824679106
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637824679117,1637824758063
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637824758072,1637824759809
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637824759822,1637824761477
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637824761488,1637824763091
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637824763103,1637824766252
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637824766261,1637824768429
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637824768441,1637824776823
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637824776838,1637824833115
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637824833177,1637824834552
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637824834562,1637824836395
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637824836410,1637824846743
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637824846754,1637824860187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637824860195,1637824873934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637824873943,1637824876260
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637824876269,1637824883509
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637824883522,1637824891171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637824891184,1637824907417
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637824907426,1637824921283
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637824921293,1637824933001
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637824933013,1637824933839
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637824933854,1637824935933
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637824935941,1637824936395
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637824936407,1637824940270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637824940282,1637824950734
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637824950745,1637824959888
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637824959897,1637825232206
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637825232275,1637825235122
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637825235165,1637825243116
