event,node,start,end
form start,,1638181519218,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638181519219,1638181521689
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638181521698,1638181764658
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638181764667,1638181766081
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638181766090,1638181767814
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638181767822,1638181774098
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638181774106,1638181785418
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638181785427,1638181790008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638181790016,1638181800365
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638181800374,1638181802144
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638181802153,1638181804570
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638181804578,1638181829468
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638181829528,1638181830337
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638181830346,1638181872825
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638181872882,1638181874109
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638181874118,1638181875239
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638181875248,1638181875788
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638181875796,1638181876415
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638181876472,1638181877201
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638181877210,1638181878361
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638181878421,1638181880260
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638181880269,1638181903433
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638181903441,1638181904232
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638181904240,1638181923764
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638181923772,1638181930332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638181930341,1638181950663
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638181950672,1638181985533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638181985542,1638181987162
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638181987171,1638182003437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638182003444,1638182008524
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638182008532,1638182018565
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638182018574,1638182020876
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638182020884,1638182025215
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_other,1638182025224,1638182033892
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638182033901,1638182036153
