event,node,start,end
form start,,1637495047206,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637495047207,1637495091423
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637495091442,1637495253611
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637495253622,1637495255180
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637495255194,1637495258103
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637495258112,1637495260770
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637495260782,1637495262944
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637495262954,1637495264973
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637495264985,1637495267433
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637495267443,1637495269362
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637495269374,1637495272293
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637495272302,1637495277175
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637495277183,1637495330872
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637495330930,1637495332450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637495332460,1637495334711
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637495334725,1637495350307
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637495350323,1637495355585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637495355594,1637495365551
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637495365560,1637495367543
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637495367551,1637495373414
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637495373431,1637495379867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637495379880,1637495382822
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637495382832,1637495392799
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637495392807,1637495395943
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637495395954,1637495398345
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637495398359,1637495412200
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637495412210,1637495419291
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637495419300,1637495604331
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637495604423,1637495683513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637495683562,1637495695923
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637495695934,1637495698383
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637495698392,1637495734248
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637495734258,1637495746683
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637495746694,1637495750216
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637495750225,1637495794381
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637495794392,1637496046864
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637496046923,1637496153741
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637496153793,1637496178740
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637496178748,1637496187317
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637496187332,1637496223717
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637496223748,1637496232988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637496233005,1637496249106
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637496249116,1637496259761
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637496259774,1637496261789
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637496261800,1637496267513
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637496267523,1637496278057
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637496278066,1637496286796
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637496286805,1637496305916
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637496305935,1637496329812
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637496329820,1637496330817
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637496330825,1637496369118
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637496369132,1637496384544
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637496384556,1637496387523
end screen,,1637496387537,1637496406613
form save,,1637496407436,
form exit,,1637496407437,
form finalize,,1637496407437,
