event,node,start,end
form start,,1637662711953,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637662711955,1637662747560
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637662747569,1637662753058
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637662753067,1637662777671
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637662777680,1637662782649
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637662782657,1637662783255
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637662783268,1637662786224
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637662786239,1637662787760
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637662787774,1637662789842
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637662789852,1637662790663
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637662790681,1637662796071
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637662796080,1637662797335
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637662797350,1637662803295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637662803310,1637662805252
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637662805266,1637662808262
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637662808274,1637662844624
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637662844683,1637662845943
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637662845952,1637662851477
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637662851487,1637662899644
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637662899653,1637662902125
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637662902141,1637662908311
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637662908322,1637662909764
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637662909778,1637662924203
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637662924216,1637662935867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637662935877,1637662937530
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637662937542,1637662946670
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637662946682,1637662955403
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637662955414,1637663135756
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637663135905,1637663197353
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637663197410,1637663220529
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637663220537,1637663223287
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637663223295,1637663224824
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637663224837,1637663230677
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637663230686,1637663274109
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637663274118,1637663277182
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637663277191,1637663280973
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637663280984,1637663286190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637663286201,1637663303573
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637663303583,1637663347228
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637663347237,1637663354052
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637663354119,1637663381053
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637663381064,1637663387645
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637663387708,1637663408465
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637663408480,1637663552937
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637663553006,1637663658561
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637663658613,1637663691092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637663691103,1637663692481
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637663692493,1637663783855
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637663783886,1637663786820
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637663786831,1637663796989
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637663796998,1637663824557
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637663824566,1637663827817
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637663827834,1637663828615
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637663828631,1637663829920
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637663829929,1637663832256
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637663832270,1637663843364
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637663843372,1637663844794
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637663844806,1637663853902
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637663853914,1637663870956
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637663870971,1637663883029
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637663883038,1637663924942
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637663924951,1637663944414
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637663944429,1637663955458
end screen,,1637663955466,1637663984735
form save,,1637663985047,
form exit,,1637663985047,
form resume,,1637663992553,
jump,,1637663992554,1637663998169
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637663998197,1637663999306
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637663999318,1637664000169
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637664000178,1637664002478
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637664002487,1637664003243
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637664003253,1637664004190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637664004199,1637664005432
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637664005441,1637664006022
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637664006031,1637664006717
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637664006730,1637664007979
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637664008038,1637664008864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637664008873,1637664009790
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637664009799,1637664012148
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637664012156,1637664014211
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637664014221,1637664014842
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637664014853,1637664015222
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637664015232,1637664015789
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637664015798,1637664016567
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637664016635,1637664017305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637664017316,1637664017894
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637664017904,1637664018443
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637664018455,1637664019010
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637664019021,1637664019474
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637664019485,1637664020245
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637664020254,1637664020905
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637664020914,1637664032882
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637664032891,1637664035682
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637664035693,1637664040056
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637664040067,1637664040586
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637664040597,1637664041050
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637664041063,1637664041828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637664041837,1637664042270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637664042282,1637664042945
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637664042958,1637664043888
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637664043958,1637664044585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637664044594,1637664044986
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637664045000,1637664045638
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637664045650,1637664046354
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637664046368,1637664046776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637664046794,1637664047512
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637664047523,1637664048207
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637664048217,1637664048586
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637664048599,1637664049617
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637664049625,1637664050585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637664050594,1637664052248
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637664052257,1637664053089
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637664053098,1637664053785
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637664053794,1637664060074
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637664060180,1637664062773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637664062837,1637664063841
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637664063850,1637664064640
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637664064649,1637664065148
