event,node,start,end
form start,,1637135437706,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637135437707,1637135441476
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637135441489,1637135446623
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637135446634,1637135448470
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637135448482,1637135452155
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637135452165,1637135454353
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637135454366,1637135455159
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637135455168,1637135566097
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637135566106,1637135573978
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637135573987,1637135574847
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637135574857,1637135578155
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637135578165,1637135580398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637135580406,1637135582371
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637135582379,1637135585214
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637135585228,1637135588423
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637135588436,1637135592596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637135592605,1637135599396
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637135599405,1637135601512
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637135601524,1637135603931
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637135603944,1637135612762
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637135612771,1637135655907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637135655995,1637135657044
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637135657057,1637135663232
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637135663245,1637135679614
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637135679623,1637135697225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637135697236,1637135698091
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637135698100,1637135699140
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637135699149,1637135715781
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637135715789,1637135718139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637135718147,1637135744680
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637135744688,1637135756563
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637135756571,1637135773966
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637135773975,1637135779434
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637135779443,1637135788989
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637135788997,1637135803899
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637135803916,1637135815673
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637135815683,1637135839578
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637135839587,1637136018964
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637136019058,1637136110537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637136110593,1637136128676
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637136128686,1637136147674
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637136147683,1637136181420
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637136181429,1637136193371
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637136193380,1637136234565
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637136234573,1637136238559
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637136238567,1637136260701
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637136260710,1637136300294
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637136300303,1637136437612
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637136437686,1637136570913
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637136570965,1637136605734
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637136605745,1637136609101
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637136609111,1637136677976
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637136678003,1637136682590
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637136682599,1637136711762
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637136711771,1637136727763
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637136727772,1637136742071
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637136742082,1637136752515
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637136752524,1637136764612
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637136764621,1637136769671
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637136769681,1637136785823
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637136785832,1637136789815
question,/aR6PPMC6cqn8347ghKWeBk/coherence/time_resolve_complaint,1637136789823,1637136812863
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637136812872,1637136815729
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637136815742,1637136830739
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637136830748,1637136835600
end screen,,1637136835607,1637136909830
form save,,1637136910263,
form exit,,1637136910263,
form resume,,1637139108880,
jump,,1637139108880,1637139111103
end screen,,1637139111132,1637139115459
form save,,1637139116028,
form exit,,1637139116028,
form finalize,,1637139116029,
