event,node,start,end
form start,,1637494228313,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637494228314,1637494320098
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637494320108,1637494326502
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637494326513,1637494370003
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637494370016,1637494373306
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637494373318,1637494373920
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637494373930,1637494380207
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637494380218,1637494385313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637494385324,1637494390980
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637494390989,1637494392824
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637494392835,1637494399692
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637494399704,1637494462629
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637494462692,1637494463597
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637494463606,1637494464632
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637494464692,1637494465903
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637494465912,1637494476185
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637494476200,1637494490063
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637494490078,1637494507520
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637494507530,1637494517933
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637494517942,1637494519512
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637494519522,1637494526658
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637494526667,1637494527630
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637494527641,1637494528603
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637494528612,1637494555372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637494555385,1637494571626
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637494571636,1637494577016
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637494577024,1637494594384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637494594400,1637494609119
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637494609132,1637494836824
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637494836982,1637494944453
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637494944501,1637494967229
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637494967238,1637494982117
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637494982133,1637494985238
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637494985247,1637494999554
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637494999567,1637495057338
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637495057350,1637495058349
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637495058358,1637495064566
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637495064575,1637495068315
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637495068325,1637495084763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637495084775,1637495129791
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637495129800,1637495406054
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637495406113,1637495505809
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637495505858,1637495529886
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637495529909,1637495531648
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637495531657,1637495614596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637495614632,1637495631964
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637495631977,1637495637965
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637495637978,1637495659484
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637495659493,1637495660984
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637495660997,1637495672616
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637495672633,1637495677558
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637495677571,1637495687298
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637495687307,1637495698142
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637495698152,1637495714361
question,/aR6PPMC6cqn8347ghKWeBk/coherence/time_resolve_complaint,1637495714370,1637495734701
question,/aR6PPMC6cqn8347ghKWeBk/coherence/satisfaction_complaint,1637495734711,1637495742626
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637495742638,1637495775789
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637495775799,1637495776923
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637495776932,1637495861610
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637495861619,1637495883908
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637495883917,1637495885669
end screen,,1637495885677,1637495913399
form save,,1637495913920,
form exit,,1637495913921,
form resume,,1637502707362,
jump,,1637502707363,1637502709169
end screen,,1637502709204,1637502710288
form save,,1637502710830,
form exit,,1637502710830,
form finalize,,1637502710831,
form resume,,1637571716432,
jump,,1637571716433,1637571723122
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637571723150,1637571728799
form exit,,1637571728799,
