event,node,start,end
form start,,1637659800790,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637659800792,1637659804323
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637659804335,1637661859773
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637661859789,1637661861596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637661861612,1637661863498
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637661863507,1637661867599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637661867615,1637661874069
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637661874079,1637661876203
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637661876217,1637661897901
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637661897916,1637661983566
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637661983628,1637661985700
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637661985714,1637661986999
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637661987013,1637661988045
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637661988055,1637661989907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637661989969,1637661999978
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637661999988,1637662022365
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637662022442,1637662024248
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637662024262,1637662032946
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637662032962,1637662051768
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637662051784,1637662056954
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637662056969,1637662075731
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637662075740,1637662077341
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637662077353,1637662098459
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637662098472,1637662115917
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637662115932,1637662118382
