event,node,start,end
form start,,1638184239320,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638184239321,1638184273463
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638184273472,1638184294826
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638184294834,1638184316886
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638184316894,1638184320843
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638184320851,1638184322417
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638184322426,1638184323818
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638184323827,1638184325282
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638184325291,1638184335937
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638184335945,1638184337782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638184337790,1638184349137
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638184349146,1638184430258
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638184430318,1638184431326
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638184431335,1638184435433
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638184435442,1638184443728
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638184443737,1638184460950
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638184460959,1638184469778
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638184469786,1638184471257
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638184471265,1638184474399
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638184474408,1638184475297
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638184475306,1638184479287
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638184479295,1638184480035
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638184480045,1638184484341
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638184484351,1638184494765
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638184494775,1638184499984
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638184499993,1638184506318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638184506327,1638184526550
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638184526560,1638184739664
