event,node,start,end
form start,,1637660905928,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637660905929,1637660911231
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637660911239,1637660913474
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637660913483,1637661044241
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637661044249,1637661046579
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637661046589,1637661048394
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637661048402,1637661050350
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637661050360,1637661052185
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637661052194,1637661072660
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637661072667,1637661118747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637661118826,1637661121402
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637661121411,1637661127656
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637661127669,1637661135813
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637661135825,1637661148783
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637661148793,1637661165762
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637661165770,1637661168141
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637661168152,1637661187437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637661187445,1637661201634
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637661201644,1637661203350
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637661203359,1637661205006
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637661205017,1637661231760
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637661231768,1637661431734
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637661431804,1637661502457
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637661502505,1637661514075
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637661514083,1637661523872
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637661523881,1637661568270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637661568278,1637661584613
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637661584621,1637661586732
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637661586741,1637661588246
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637661588255,1637661611360
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637661611369,1637661613257
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637661613271,1637661622930
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637661622940,1637661626744
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637661626758,1637661850168
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637661850223,1637661925086
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637661925172,1637661940460
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637661940468,1637661945724
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637661945735,1637662023846
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637662023879,1637662030719
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637662030730,1637662048128
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637662048136,1637662056211
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637662056220,1637662057644
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637662057656,1637662060085
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637662060100,1637662068695
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637662068703,1637662071075
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637662071083,1637662080196
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637662080211,1637662082372
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637662082393,1637662083863
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637662083875,1637662086846
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637662086854,1637662090696
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637662090703,1637662175875
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637662175885,1637662191098
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637662191107,1637662191945
end screen,,1637662191953,1637662205997
form save,,1637662206512,
form exit,,1637662206512,
form finalize,,1637662206512,
