event,node,start,end
form start,,1637834106653,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637834106655,1637834117219
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637834117228,1637834392403
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637834392415,1637834393659
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637834393669,1637834394288
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637834394297,1637834395914
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637834395928,1637834397752
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637834397766,1637834399393
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637834399405,1637834402004
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637834402013,1637834403341
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637834403354,1637834408365
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637834408374,1637834469450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637834469511,1637834471023
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637834471032,1637834476083
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637834476093,1637834484549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637834484558,1637834493755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637834493768,1637834506515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637834506524,1637834523730
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637834523740,1637834535497
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637834535510,1637834552702
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637834552711,1637834554341
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637834554358,1637834561059
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637834561073,1637834580219
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637834580231,1637834581981
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637834581989,1637834778808
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637834778939,1637834820183
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637834820255,1637834832692
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637834832701,1637834834533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637834834546,1637834879999
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637834880012,1637834888034
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637834888043,1637834911838
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637834911848,1637834920100
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637834920111,1637834924954
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637834924963,1637834948165
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637834948175,1637835148198
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637835148267,1637835231939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637835232000,1637835240585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637835240597,1637835260473
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637835260482,1637835315477
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637835315511,1637835338705
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637835338714,1637835348610
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637835348620,1637835357704
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637835357713,1637835359182
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637835359193,1637835361367
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637835361381,1637835378791
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637835378800,1637835381583
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637835381600,1637835393439
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637835393448,1637835425697
