event,node,start,end
form start,,1637756430005,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637756430007,1637756436872
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637756436881,1637756599367
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637756599377,1637756603909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637756603923,1637756605322
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637756605334,1637756606822
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637756606836,1637756616483
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637756616496,1637756618001
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637756618011,1637756620511
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637756620521,1637756663243
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637756663319,1637756664871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637756664881,1637756667441
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637756667450,1637756670094
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637756670106,1637756681845
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637756681861,1637756688572
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637756688582,1637756690090
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637756690099,1637756698188
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637756698203,1637756704206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637756704216,1637756706857
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637756706866,1637756708497
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637756708506,1637756710035
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637756710044,1637756711999
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637756712010,1637756725721
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637756725734,1637756736057
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637756736070,1637756881175
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637756881322,1637756947846
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637756947933,1637756959770
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637756959779,1637756961166
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637756961179,1637756984019
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637756984028,1637757001947
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637757001957,1637757017597
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637757017610,1637757019798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637757019807,1637757021067
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637757021076,1637757038355
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637757038365,1637757040155
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637757040167,1637757100135
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637757100144,1637757220783
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637757220839,1637757286171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637757286225,1637757299761
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637757299770,1637757307576
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637757307585,1637757353965
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637757354000,1637757362086
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637757362095,1637757369401
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637757369410,1637757380807
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637757380815,1637757382325
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637757382337,1637757384814
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637757384827,1637757390685
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637757390693,1637757393886
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637757393895,1637757409709
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637757409718,1637757414732
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637757414741,1637757417362
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637757417374,1637757436186
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637757436194,1637757437257
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637757437266,1637757559252
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637757559264,1637757581245
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637757581254,1637757582400
end screen,,1637757582408,1637757603219
form save,,1637757603890,
form exit,,1637757603891,
form finalize,,1637757603892,
