event,node,start,end
form start,,1637748352083,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637748352084,1637748354701
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637748354718,1637748466597
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637748466611,1637748468311
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637748468327,1637748470229
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637748470241,1637748475571
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637748475584,1637748489558
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637748489568,1637748491718
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637748491731,1637748493643
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637748493652,1637748558549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637748558607,1637748561015
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637748561025,1637748562398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637748562458,1637748563568
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637748563577,1637748603138
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637748603196,1637748610197
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637748610206,1637748624577
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637748624589,1637748637753
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637748637766,1637748644168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637748644180,1637748664727
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637748664740,1637748666217
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637748666227,1637748678029
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637748678043,1637748692361
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637748692373,1637748694381
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637748694394,1637748696971
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637748696984,1637748709228
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637748709240,1637748712540
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637748712596,1637748714287
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637748714296,1637748716214
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637748716226,1637748866893
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637748866966,1637748937970
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637748938024,1637748939278
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637748939292,1637748947474
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637748947542,1637748962190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637748962198,1637748967507
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637748967515,1637748997232
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637748997247,1637749015101
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637749015113,1637749031743
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637749031755,1637749035042
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_edu,1637749035055,1637749038685
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637749038697,1637749091701
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637749091709,1637749332753
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637749332819,1637749422884
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637749422948,1637749442310
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637749442324,1637749448807
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637749448821,1637749451102
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637749451111,1637749453927
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637749453943,1637749579150
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637749579196,1637749602747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637749602760,1637749631551
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637749631565,1637749645478
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637749645487,1637749680621
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637749680635,1637749688623
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637749688637,1637749697341
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637749697356,1637749705344
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637749705353,1637749748420
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637749748429,1637749761544
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637749761551,1637749775732
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637749775740,1637749776596
end screen,,1637749776603,1637749800339
form save,,1637749800855,
form exit,,1637749800855,
form finalize,,1637749800856,
