event,node,start,end
form start,,1638102546107,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638102546109,1638102551782
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638102551793,1638102702948
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638102702959,1638102705173
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638102705184,1638102707950
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638102707959,1638102714367
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638102714376,1638102718406
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638102718416,1638102720253
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638102720264,1638102723876
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638102723885,1638102726619
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638102726628,1638102741631
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638102741640,1638102795206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638102795273,1638102797670
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638102797679,1638102798896
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638102798963,1638102800596
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638102800606,1638102801989
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638102802063,1638102803372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638102803385,1638102807279
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638102807289,1638102819614
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638102819624,1638102832065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638102832076,1638102843802
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638102843812,1638102845381
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638102845391,1638102882952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638102882961,1638102901505
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638102901514,1638102915569
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638102915578,1638102918179
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638102918190,1638102920707
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638102920716,1638102924298
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638102924307,1638103037067
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638103037182,1638103104123
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638103104168,1638103105450
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638103105459,1638103113034
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638103113081,1638103127793
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638103127803,1638103129854
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638103129864,1638103141625
