event,node,start,end
form start,,1637135445774,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637135445778,1637135456856
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637135456871,1637135467738
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637135467757,1637135470306
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637135470319,1637135472698
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637135472715,1637135474647
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637135474665,1637135483108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637135483119,1637135485096
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637135485110,1637135488424
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637135488437,1637135564736
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637135564809,1637135566245
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637135566258,1637135569828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637135569846,1637135576501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637135576518,1637135583874
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637135583890,1637135591614
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637135591625,1637135594755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637135594766,1637135606889
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637135606904,1637135617047
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637135617074,1637135619453
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637135619470,1637135626776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637135626800,1637135630818
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637135630828,1637135632471
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637135632488,1637135642409
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637135642422,1637135652601
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637135652615,1637135843410
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637135843521,1637135920187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637135920245,1637135934548
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637135934564,1637135940558
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637135940568,1637135980992
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637135981005,1637135985466
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637135985476,1637135994274
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637135994284,1637135997024
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637135997036,1637136018898
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637136018911,1637136021234
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637136021249,1637136085432
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources_other,1637136085448,1637136094532
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637136094544,1637136269697
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637136269772,1637136345510
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637136345579,1637136365125
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637136365141,1637136368683
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637136368699,1637136428990
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637136429037,1637136430391
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637136430405,1637136434414
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637136434468,1637136444786
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637136444800,1637136457916
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637136457928,1637136460969
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637136460979,1637136465466
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637136465483,1637136481758
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637136481771,1637136485274
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637136485293,1637136503678
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637136503691,1637136514204
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637136514220,1637136537768
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637136537779,1637136548518
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637136548529,1637136549523
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637136549534,1637136560832
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637136560842,1637136574195
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637136574211,1637136588541
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637136588555,1637136589837
end screen,,1637136589846,1637136620500
form save,,1637136621034,
form exit,,1637136621034,
form resume,,1637139591606,
jump,,1637139591606,1637139593604
end screen,,1637139593640,1637139618588
form save,,1637139619170,
form exit,,1637139619171,
form finalize,,1637139619171,
