event,node,start,end
form start,,1637833589648,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637833589649,1637833675905
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637833675914,1637833811908
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637833811917,1637833813782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637833813793,1637833815149
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637833815160,1637833816910
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637833816918,1637833822253
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637833822261,1637833823628
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637833823640,1637833837997
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637833838006,1637833890922
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637833890979,1637833893163
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637833893171,1637833897776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637833897788,1637833902918
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637833902929,1637833911976
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637833911984,1637833918717
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637833918726,1637833922032
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637833922042,1637833930607
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637833930621,1637833934130
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637833934143,1637833938619
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637833938632,1637833946313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637833946323,1637833947952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637833947967,1637833960154
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637833960166,1637834039486
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637834039639,1637834100959
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637834101031,1637834114478
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637834114488,1637834123989
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637834123997,1637834130931
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637834130943,1637834134712
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637834134720,1637834153563
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637834153572,1637834157483
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637834157492,1637834162965
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637834162975,1637834165479
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637834165492,1637834167537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637834167547,1637834194508
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637834194519,1637834350931
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637834350990,1637834395440
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637834395503,1637834431584
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637834431597,1637834432979
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637834432991,1637834465436
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637834465481,1637834468127
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637834468139,1637834483511
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637834483519,1637834493490
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637834493504,1637834497879
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637834497887,1637834499741
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637834499754,1637834509192
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637834509200,1637834511072
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637834511083,1637834517461
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637834517475,1637834529382
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637834529393,1637834530372
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637834530380,1637834541137
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637834541147,1637834559168
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637834559176,1637834560057
end screen,,1637834560065,1637835021333
form save,,1637835021847,
form exit,,1637835021847,
form finalize,,1637835021847,
