event,node,start,end
form start,,1638172520850,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638172520851,1638172561714
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638172561722,1638173028850
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638173028859,1638173030306
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638173030315,1638173031544
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638173031556,1638173032907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638173032916,1638173035966
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638173035974,1638173037428
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638173037436,1638173042615
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638173042623,1638173061149
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638173061216,1638173062132
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638173062140,1638173063961
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638173063969,1638173065590
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638173065598,1638173069696
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638173069705,1638173080486
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638173080494,1638173082115
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638173082123,1638173086320
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638173086328,1638173092272
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638173092280,1638173094749
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638173094757,1638173096793
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638173096803,1638173101531
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638173101539,1638173119104
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638173119113,1638173203459
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638173203540,1638173206364
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638173206372,1638173207461
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638173207470,1638173208360
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638173208369,1638173212069
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638173212147,1638173215491
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638173215500,1638173227198
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638173227277,1638173283251
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638173283302,1638173296416
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638173296425,1638173324295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638173324304,1638173340205
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638173340214,1638173352938
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638173352947,1638173371028
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638173371037,1638173403294
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638173403304,1638173550651
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638173550710,1638173553342
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638173553386,1638173600740
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638173600790,1638173639572
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638173639615,1638173660933
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638173660942,1638173662397
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638173662405,1638173703376
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638173703400,1638173708429
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638173708437,1638173715844
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638173715852,1638173730689
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638173730697,1638173732368
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638173732376,1638173735309
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638173735318,1638173747861
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638173747869,1638173749939
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638173749947,1638173765882
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638173765890,1638173778666
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638173778675,1638173779530
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638173779538,1638173817766
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638173817774,1638173831231
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638173831240,1638173832212
end screen,,1638173832220,1638173865305
form save,,1638173865519,
form exit,,1638173865519,
form finalize,,1638173865519,
