event,node,start,end
form start,,1638170307109,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638170307112,1638170316359
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638170316370,1638170533475
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638170533482,1638170534946
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638170534956,1638170536533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638170536543,1638170538412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638170538421,1638170543099
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638170543108,1638170544812
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638170544820,1638170553124
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638170553133,1638170580551
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638170580607,1638170581368
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638170581377,1638170591875
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638170591883,1638170599772
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638170599780,1638170605773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638170605781,1638170616744
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638170616752,1638170618190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638170618198,1638170624557
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638170624566,1638170631856
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638170631864,1638170634399
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638170634408,1638170640850
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638170640860,1638170643560
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638170643568,1638170645821
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638170645831,1638170651558
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638170651566,1638170731682
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638170731771,1638170799302
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638170799340,1638170802341
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638170802349,1638170810304
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638170810312,1638170818849
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638170818857,1638170820445
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638170820452,1638170825018
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638170825027,1638170829105
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638170829113,1638170837653
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638170837662,1638170851135
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638170851144,1638170854773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638170854781,1638170856585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638170856593,1638170867258
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources_other,1638170867266,1638170877232
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638170877241,1638171017644
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638171017697,1638171071072
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638171071122,1638171091251
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638171091260,1638171098101
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638171098109,1638171138897
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638171138920,1638171141124
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638171141133,1638171150932
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638171150940,1638171159344
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638171159352,1638171164015
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638171164023,1638171166475
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638171166484,1638171180922
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638171180931,1638171187455
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638171187464,1638171194454
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638171194462,1638171202351
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638171202359,1638171203231
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638171203239,1638171248731
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638171248739,1638171265355
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638171265363,1638171266287
end screen,,1638171266295,1638171638546
form save,,1638171638799,
form exit,,1638171638799,
form finalize,,1638171638799,
