event,node,start,end
form start,,1637585134859,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637585134860,1637585137534
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637585137543,1637585254195
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637585254205,1637585257677
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637585257688,1637585260001
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637585260015,1637585264437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637585264451,1637585270535
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637585270543,1637585273871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637585273880,1637585281832
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637585281844,1637585382145
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637585382213,1637585386305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637585386313,1637585393546
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637585393559,1637585411308
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637585411320,1637585421355
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637585421367,1637585422609
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637585422618,1637585430060
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637585430069,1637585462714
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637585462723,1637585465774
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637585465786,1637585480297
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637585480310,1637585490668
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637585490677,1637585493220
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637585493234,1637585513571
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637585513581,1637585530118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637585530130,1637585531825
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637585531838,1637585688228
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637585688310,1637585792216
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637585792284,1637585812599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1637585812607,1637585825298
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637585825312,1637585828689
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637585828700,1637585867275
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637585867286,1637585871748
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637585871763,1637585887969
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637585887977,1637585905103
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637585905112,1637585910988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_shock_ineffective_med,1637585911003,1637585921850
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637585921863,1637585961885
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637585961900,1637586064476
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637586064541,1637586168493
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637586168548,1637586196541
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637586196552,1637586199013
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637586199026,1637586223744
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637586223758,1637586243720
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637586243757,1637586298792
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637586298805,1637586302011
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637586302025,1637586314081
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637586314093,1637586315532
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637586315546,1637586331983
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637586331994,1637586338580
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637586338594,1637586345345
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637586345354,1637586363053
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637586363065,1637586379993
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637586380004,1637586400821
