event,node,start,end
form start,,1637665034378,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637665034379,1637665036829
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637665036837,1637665302685
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637665302700,1637665307705
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637665307714,1637665310593
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637665310607,1637665314461
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637665314472,1637665323344
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637665323354,1637665325563
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637665325575,1637665335043
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637665335052,1637665429740
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637665429805,1637665432074
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637665432082,1637665433216
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637665433277,1637665434488
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637665434496,1637665436046
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637665436107,1637665437452
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637665437461,1637665450644
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637665450656,1637665472456
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637665472465,1637665477203
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637665477217,1637665487587
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637665487597,1637665491843
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637665491851,1637665512003
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637665512019,1637665522907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637665522920,1637665525245
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637665525256,1637665527148
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637665527162,1637665540202
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637665540217,1637665542616
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637665542631,1637665580196
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637665580298,1637665684339
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637665684394,1637665698431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637665698444,1637665700079
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637665700092,1637665753042
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637665753055,1637665762758
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637665762767,1637665766071
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637665766080,1637665767721
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637665767735,1637665806421
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637665806431,1637665808600
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637665808616,1637665812754
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637665812765,1637665866018
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637665866042,1637666217456
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637666217514,1637666422762
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637666422832,1637666525224
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637666525234,1637666528912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637666528928,1637666530287
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637666530300,1637666539674
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637666539688,1637666552603
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637666552620,1637666566763
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637666566777,1637666739588
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637666739620,1637666778051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637666778060,1637666787317
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637666787326,1637666814064
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637666814078,1637666820380
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637666820395,1637666836288
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637666836300,1637666846038
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts_other,1637666846052,1637666851360
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637666851368,1637666854679
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637666854692,1637666857899
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637666857907,1637666884209
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637666884217,1637666908303
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637666908316,1637667028252
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637667028262,1637667044611
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637667044619,1637667065373
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637667065382,1637667066491
end screen,,1637667066499,1637667083386
form save,,1637667083895,
form exit,,1637667083895,
form finalize,,1637667083895,
