event,node,start,end
form start,,1637740359037,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637740359038,1637740391466
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637740391476,1637740437756
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637740437769,1637740439362
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637740439371,1637740441135
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637740441149,1637740447269
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637740447279,1637740451058
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637740451070,1637740452779
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637740452788,1637740454904
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637740454916,1637740457534
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637740457542,1637740463546
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637740463555,1637740466018
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637740466033,1637740467802
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637740467815,1637740474427
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637740474437,1637740548402
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637740548459,1637740549776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637740549785,1637740552369
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637740552380,1637740555124
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637740555133,1637740561384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637740561401,1637740574398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637740574409,1637740576363
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637740576374,1637740594657
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637740594667,1637740601195
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637740601207,1637740602998
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637740603007,1637740605308
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637740605320,1637740619712
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637740619721,1637740624957
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637740624966,1637740734464
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637740734605,1637740808404
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637740808461,1637740815608
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637740815620,1637740828810
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637740828825,1637740844374
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637740844383,1637740851118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637740851127,1637740855413
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637740855422,1637740867007
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637740867017,1637741049143
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637741049218,1637741105511
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637741105567,1637741126608
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637741126619,1637741131085
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637741131096,1637741174408
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637741174447,1637741179389
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637741179404,1637741191960
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637741191978,1637741202717
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637741202729,1637741204255
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637741204267,1637741207292
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637741207300,1637741215858
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637741215869,1637741219991
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637741219999,1637741222525
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637741222536,1637741247604
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637741247614,1637741248656
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637741248665,1637741287894
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637741287902,1637741306041
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637741306050,1637741307155
end screen,,1637741307163,1637741336926
form save,,1637741337399,
form exit,,1637741337399,
form finalize,,1637741337399,
