event,node,start,end
form start,,1637741411355,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637741411356,1637741468288
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637741468296,1637741502886
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637741502902,1637741504353
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637741504364,1637741505863
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637741505877,1637741507403
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637741507416,1637741508679
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637741508690,1637741510015
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637741510028,1637741512020
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637741512028,1637741513904
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637741513916,1637741515200
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637741515211,1637741537094
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637741537103,1637741590947
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637741591004,1637741596204
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637741596214,1637741600944
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637741600956,1637741633172
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637741633183,1637741637750
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637741637761,1637741650620
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637741650629,1637741653251
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637741653259,1637741657748
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637741657757,1637741659366
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637741659374,1637741670149
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637741670158,1637741673491
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637741673500,1637741686916
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637741686925,1637741701645
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637741701653,1637741706749
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637741706761,1637741711807
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637741711815,1637741713488
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637741713497,1637741737369
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637741737383,1637741836067
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637741836221,1637741887414
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637741887459,1637741921025
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637741921039,1637741922420
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637741922432,1637741931046
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637741931054,1637741932625
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637741932638,1637741947156
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637741947166,1637741948835
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637741948847,1637741952939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637741952948,1637741957694
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637741957706,1637742199102
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637742199159,1637742286590
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637742286666,1637742309464
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637742309476,1637742315622
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637742315633,1637742361402
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637742361449,1637742367737
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637742367750,1637742372675
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637742372686,1637742386339
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637742386349,1637742387633
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637742387645,1637742395160
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637742395174,1637742397752
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637742397764,1637742411113
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637742411126,1637742413601
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637742413613,1637742418339
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637742418350,1637742424955
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637742424965,1637742457811
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637742457823,1637742459005
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637742459013,1637742460383
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637742460396,1637742461414
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637742461423,1637742486347
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637742486356,1637742498709
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637742498717,1637742500266
end screen,,1637742500273,1637743025566
form save,,1637743026154,
form exit,,1637743026155,
form finalize,,1637743026155,
