event,node,start,end
form start,,1638087452410,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638087452411,1638087511653
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638087511663,1638087525068
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638087525077,1638087527605
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638087527615,1638087661287
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638087661297,1638087667004
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638087667013,1638087670727
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638087670736,1638087673304
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638087673312,1638087677361
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638087677371,1638087760875
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638087760936,1638087765718
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638087765730,1638087767193
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638087767269,1638087768776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638087768785,1638087774495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638087774505,1638087782441
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638087782451,1638087787794
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638087787804,1638087795840
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638087795850,1638087797969
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638087797979,1638087808292
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638087808303,1638087820743
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638087820753,1638087825282
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638087825292,1638087827609
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638087827619,1638087829771
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638087829781,1638087832597
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638087832608,1638087970237
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638087970344,1638088030775
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638088030824,1638088045252
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638088045262,1638088049941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638088049951,1638088166760
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638088166772,1638088174971
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638088174980,1638088186992
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638088187001,1638088196333
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638088196342,1638088198660
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638088198669,1638088200921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638088200930,1638088205662
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638088205671,1638088215221
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638088215230,1638088217263
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638088217272,1638088220421
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638088220432,1638088226339
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638088226349,1638088236788
form save,,1638088236972,
jump,,1638088243463,1638088246804
end screen,,1638088246902,1638088279414
constraint error,,1638088279563,
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638088279597,1638088311238
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638088311290,1638088314185
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638088314248,1638088347281
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638088347337,1638088353264
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638088353274,1638088355359
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638088355369,1638088370388
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638088370420,1638088373762
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638088373771,1638088377286
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638088377296,1638088382090
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638088382097,1638088384135
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638088384144,1638088386779
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638088386788,1638088391599
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638088391609,1638088400627
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638088400636,1638088403852
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638088403861,1638088406329
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638088406338,1638088407757
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638088407767,1638088440857
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638088440866,1638088460489
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638088460498,1638088461886
end screen,,1638088461895,1638088464606
form save,,1638088464816,
form exit,,1638088464816,
form finalize,,1638088464816,
form resume,,1638088661265,
jump,,1638088661265,1638088676637
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638088674230,1638088676637
