event,node,start,end
form start,,1637582773461,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637582773462,1637582776656
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637582776665,1637582918872
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637582918882,1637582920663
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637582920675,1637582922196
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637582922206,1637582926179
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637582926193,1637582931150
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637582931159,1637582934824
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637582934833,1637582963427
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637582963437,1637582980861
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637582980949,1637582981998
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637582982007,1637582987088
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637582987100,1637582993208
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637582993217,1637582994788
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637582994798,1637583011674
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637583011683,1637583013604
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637583013613,1637583033792
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637583033805,1637583043826
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637583043837,1637583046311
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637583046320,1637583050377
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637583050393,1637583052921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637583052930,1637583054705
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637583054714,1637583057535
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637583057545,1637583058726
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637583058742,1637583066771
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637583066780,1637583067654
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637583067663,1637583071059
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637583071068,1637583071717
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637583071727,1637583073239
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637583073248,1637583141746
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637583141898,1637583184684
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637583184737,1637583205801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637583205813,1637583215954
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637583215964,1637583233549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637583233558,1637583242839
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637583242852,1637583247997
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637583248006,1637583257499
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637583257508,1637583260118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637583260127,1637583261862
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637583261876,1637583272426
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637583272443,1637583376953
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637583377015,1637583424942
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637583425018,1637583441949
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637583441958,1637583443179
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637583443191,1637583446604
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637583446613,1637583451959
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637583451975,1637583454013
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637583454024,1637583497140
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637583497178,1637583500932
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637583500940,1637583509734
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637583509743,1637583532746
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637583532755,1637583549948
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637583549957,1637583552204
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637583552214,1637583560328
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637583560338,1637583578946
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637583578955,1637583581799
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637583581808,1637583591732
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637583591743,1637583594996
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637583595005,1637583606659
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637583606668,1637583609369
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637583609381,1637583628462
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637583628472,1637583652112
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637583652123,1637583652932
end screen,,1637583652944,1637583968875
jump,,1637583968877,1637583972450
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637583972489,1637583979080
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637583979089,1637583980025
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637583980034,1637583980965
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637583980975,1637583982018
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637583982027,1637583983005
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637583983015,1637583983888
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637583983898,1637583984853
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637583984862,1637583985984
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637583985992,1637583987961
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637583988020,1637583989003
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637583989012,1637583990092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637583990101,1637583992722
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637583992733,1637583993605
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637583993621,1637583994426
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637583994436,1637583995267
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637583995276,1637583996642
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637583996652,1637583999494
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637583999504,1637584005016
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637584005025,1637584006782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637584006793,1637584020072
jump,,1637584020073,1637584023129
end screen,,1637584023166,1637584870752
form save,,1637584871449,
form exit,,1637584871449,
form finalize,,1637584871449,
