event,node,start,end
form start,,1638180710198,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638180710199,1638182339967
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638182339976,1638182348462
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638182348470,1638182350440
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638182350448,1638182361528
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638182361536,1638182362736
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638182362747,1638182364604
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638182364614,1638182366019
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1638182366027,1638182366732
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638182366740,1638182367812
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638182367822,1638182369641
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638182369648,1638182371088
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638182371096,1638182374280
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638182374288,1638182427858
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638182427918,1638182428972
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638182428980,1638182431516
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638182431524,1638182445746
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638182445755,1638182449519
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638182449529,1638182455886
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638182455895,1638182457367
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638182457374,1638182472096
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638182472104,1638182479244
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638182479251,1638182481222
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638182481230,1638182483600
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638182483609,1638182486825
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638182486833,1638182489717
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638182489725,1638182491879
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638182491887,1638182494123
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638182494132,1638182495801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638182495810,1638182506477
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638182506486,1638182562608
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638182562709,1638182620336
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638182620381,1638182623609
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638182623617,1638182624838
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638182624847,1638182631140
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638182631148,1638182657904
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638182657912,1638182661383
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638182661391,1638182665337
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638182665345,1638182667297
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638182667306,1638182668627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638182668635,1638182687213
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources_other,1638182687221,1638182698932
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638182698940,1638182909480
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638182909531,1638182999781
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638182999828,1638183009056
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638183009064,1638183010019
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638183010028,1638183018847
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638183018855,1638183028838
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638183028846,1638183084231
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638183084257,1638183095867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638183095875,1638183109898
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638183109906,1638183121152
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638183121160,1638183122648
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638183122656,1638183123761
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638183123771,1638183127070
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638183127078,1638183129181
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638183129189,1638183137909
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638183137917,1638183144243
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1638183144251,1638183150277
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638183150285,1638183154783
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1638183154790,1638183155447
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638183155454,1638183162563
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638183162571,1638183171939
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638183171947,1638183172786
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638183172793,1638183189976
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638183189984,1638183210224
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638183210232,1638183217654
end screen,,1638183217662,1638183270549
form save,,1638183270777,
form exit,,1638183270777,
form finalize,,1638183270777,
