event,node,start,end
form start,,1637757279504,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637757279505,1637757290829
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637757290839,1637757433934
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637757433947,1637757439775
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637757439789,1637757441589
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637757441601,1637757443224
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637757443233,1637757444732
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637757444749,1637757446409
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637757446422,1637757447184
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637757447194,1637757448755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637757448767,1637757451817
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637757451826,1637757453579
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637757453590,1637757459412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637757459420,1637757479407
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637757479416,1637757481174
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637757481232,1637757487169
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637757487177,1637757573665
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637757573730,1637757574983
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637757574995,1637757576286
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637757576344,1637757579511
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637757579521,1637757581971
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637757582038,1637757583244
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637757583254,1637757590207
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637757590220,1637757598492
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637757598500,1637757619358
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637757619367,1637757634745
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637757634754,1637757638731
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637757638739,1637757664133
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637757664144,1637757671411
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637757671420,1637757679356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637757679367,1637757681055
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637757681066,1637757694356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637757694370,1637757699662
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637757699671,1637757829830
