event,node,start,end
form start,,1637754832455,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637754832457,1637754848483
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637754848493,1637755224877
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637755224891,1637755228233
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637755228244,1637755229833
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637755229841,1637755231219
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637755231230,1637755233152
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637755233166,1637755234812
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637755234824,1637755240801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637755240809,1637755242539
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637755242552,1637755253315
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637755253323,1637755277235
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637755277292,1637755278178
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637755278186,1637755280766
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637755280774,1637755291970
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637755291978,1637755300906
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637755300919,1637755315296
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637755315310,1637755317216
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637755317224,1637755327750
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637755327763,1637755337727
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637755337740,1637755347358
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637755347372,1637755352858
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637755352868,1637755358422
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637755358430,1637755365355
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637755365368,1637755366367
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637755366375,1637755368169
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637755368182,1637755373799
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637755373810,1637755378365
