event,node,start,end
form start,,1637658882030,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637658882032,1637658884663
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637658884672,1637659135568
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637659135581,1637659137015
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637659137027,1637659138464
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637659138474,1637659140612
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637659140628,1637659141948
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637659141961,1637659143770
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637659143781,1637659148164
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637659148172,1637659150024
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637659150036,1637659151137
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637659151147,1637659152795
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637659152804,1637659161010
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637659161066,1637659166193
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637659166201,1637659250546
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637659250612,1637659254122
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637659254131,1637659255240
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637659255303,1637659301044
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637659301060,1637659333342
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637659333407,1637659335054
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637659335062,1637659341085
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637659341095,1637659350542
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637659350551,1637659356775
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637659356787,1637659358011
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637659358019,1637659368035
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637659368044,1637659372593
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637659372601,1637659376782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637659376789,1637659382049
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637659382066,1637659416867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637659416878,1637659418650
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637659418662,1637659421384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637659421398,1637659423226
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637659423236,1637659427881
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637659427897,1637659513285
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637659513372,1637659576395
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637659576469,1637659579304
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637659579318,1637659580578
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637659580586,1637659590793
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637659590801,1637659592048
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637659592059,1637659599763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637659599778,1637659603246
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637659603258,1637659606689
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637659606700,1637659608715
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_edu,1637659608725,1637659610735
