event,node,start,end
form start,,1638171605563,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638171605565,1638171650397
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638171650405,1638171685088
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638171685097,1638171688138
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638171688146,1638171689825
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638171689835,1638171691587
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638171691598,1638171694830
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638171694838,1638171696392
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638171696400,1638171705802
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638171705811,1638171750414
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638171750467,1638171751634
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638171751643,1638171753846
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638171753855,1638171772664
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638171772673,1638171777917
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638171777925,1638171785846
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638171785855,1638171787542
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638171787552,1638171792679
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638171792689,1638171804266
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638171804274,1638171806361
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638171806371,1638171808621
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638171808631,1638171810949
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638171810956,1638171821140
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638171821149,1638171915107
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638171915202,1638171970959
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638171971000,1638171983641
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638171983652,1638171985020
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638171985028,1638172014878
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638172014886,1638172019849
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638172019857,1638172042243
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638172042252,1638172052300
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638172052310,1638172054312
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638172054321,1638172081625
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638172081633,1638172247768
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638172247820,1638172305884
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638172305927,1638172319199
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638172319207,1638172321327
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638172321335,1638172356154
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638172356177,1638172366128
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638172366136,1638172370667
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638172370676,1638172385513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638172385522,1638172386809
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638172386818,1638172388521
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638172388530,1638172390151
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638172390159,1638172395470
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638172395479,1638172404297
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638172404305,1638172408786
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638172408794,1638172425626
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638172425634,1638172426922
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638172426930,1638172431494
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638172431503,1638172439972
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638172439981,1638172440820
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638172440828,1638172451975
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638172451983,1638172490326
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638172490335,1638172491307
end screen,,1638172491315,1638172515856
form save,,1638172516128,
form exit,,1638172516128,
form finalize,,1638172516128,
