event,node,start,end
form start,,1637746270220,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637746270221,1637746272726
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637746272737,1637747334961
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637747334978,1637747336811
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637747336820,1637747338534
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637747338547,1637747340174
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637747340188,1637747343808
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637747343817,1637747346752
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637747346765,1637747352673
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637747352682,1637747354591
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637747354661,1637747358387
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637747358396,1637747420175
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637747420238,1637747421198
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637747421210,1637747427921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637747427933,1637747436737
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637747436747,1637747438733
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637747438743,1637747443439
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637747443455,1637747450786
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637747450800,1637747468495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637747468505,1637747470279
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637747470288,1637747478948
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637747478960,1637747486992
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637747487001,1637747492116
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637747492125,1637747493900
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637747493913,1637747511254
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637747511266,1637747519173
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637747519182,1637747520139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637747520150,1637747524066
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637747524076,1637747621781
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637747621848,1637747682498
