event,node,start,end
form start,,1638103897089,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638103897090,1638103900622
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638103900631,1638103974734
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638103974745,1638103976742
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638103976753,1638103980851
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638103980861,1638103988431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638103988440,1638103993152
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638103993162,1638103995612
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638103995622,1638103998621
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638103998632,1638104046861
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638104046923,1638104048743
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638104048752,1638104060712
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638104060721,1638104069108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638104069117,1638104075325
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638104075336,1638104090686
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638104090696,1638104092348
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638104092359,1638104115305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638104115315,1638104117119
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638104117130,1638104118830
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638104118839,1638104141689
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638104141697,1638104146742
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638104146750,1638104170233
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638104170241,1638104175685
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638104175693,1638104179277
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638104179286,1638104348552
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638104348654,1638104405450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638104405497,1638104429170
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638104429178,1638104432861
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638104432871,1638104464281
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638104464290,1638104466359
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638104466368,1638104470401
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638104470411,1638104485213
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638104485222,1638104487422
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638104487431,1638104490912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638104490922,1638104495833
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638104495842,1638104498559
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638104498568,1638104515782
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638104515791,1638104726394
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638104726455,1638104810327
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638104810383,1638104852881
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638104852889,1638104854113
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638104854168,1638104857105
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638104857169,1638104858301
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638104858311,1638104859582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638104859592,1638104861876
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638104861887,1638104863207
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638104863217,1638104864269
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638104864279,1638104866116
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638104866126,1638104867280
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638104867290,1638104873845
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638104873856,1638104875790
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638104875800,1638104878084
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638104878095,1638104879314
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638104879323,1638104891168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638104891221,1638104892031
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638104892040,1638104892912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638104892921,1638104893859
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638104893869,1638104894774
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638104894784,1638104895841
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638104895852,1638104896871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638104896880,1638104898033
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638104898043,1638104899129
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638104899140,1638104900194
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638104900204,1638104901208
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638104901217,1638104902571
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638104902580,1638104903970
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638104904036,1638104906247
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638104906298,1638104907575
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1638104907584,1638104909270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638104909279,1638104912662
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638104912671,1638104915205
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638104915214,1638104956400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638104956431,1638104959608
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638104959618,1638104973306
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638104973316,1638105001584
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638105001593,1638105003031
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638105003039,1638105006006
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638105006016,1638105025888
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638105025897,1638105027883
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638105027892,1638105036378
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638105036388,1638105051340
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638105051349,1638105053219
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638105053229,1638105058056
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638105058067,1638105059004
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638105059013,1638105060117
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638105060128,1638105080665
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1638105080673,1638105093333
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1638105093341,1638105095078
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638105095086,1638105133713
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1638105133722,1638105145799
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638105145809,1638105147178
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638105147187,1638105183352
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638105183361,1638105213791
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638105213801,1638105215254
end screen,,1638105215264,1638105246900
form save,,1638105247121,
form exit,,1638105247121,
form finalize,,1638105247121,
form resume,,1638105254722,
jump,,1638105254722,1638105263646
end screen,,1638105263669,1638105264621
form save,,1638105264857,
form exit,,1638105264857,
form finalize,,1638105264857,
