event,node,start,end
form start,,1638177600070,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638177600071,1638177604174
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638177604184,1638177684721
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638177684731,1638177686249
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638177686261,1638177687761
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638177687771,1638177695142
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638177695152,1638177703404
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638177703415,1638177704834
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638177704845,1638177707544
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638177707554,1638177709738
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638177709747,1638177717219
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638177717228,1638177751859
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638177751930,1638177753443
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638177753452,1638177754601
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638177754667,1638177756186
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638177756195,1638177757561
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638177757627,1638177762519
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638177762527,1638177766326
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638177766335,1638177780257
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638177780269,1638177786841
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638177786852,1638177801154
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638177801164,1638177802667
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638177802677,1638177811827
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638177811836,1638177831759
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638177831768,1638177834552
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638177834561,1638177836763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638177836772,1638177837777
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638177837788,1638177849115
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638177849124,1638177854850
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638177854859,1638177903309
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638177903318,1638177905321
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638177905330,1638177907283
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638177907292,1638177914663
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638177914672,1638177916675
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638177916684,1638177919336
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638177919344,1638177937522
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638177937579,1638177959366
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638177959376,1638177962442
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638177962452,1638178019134
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638178019217,1638178020395
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638178020405,1638178105049
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638178105148,1638178114420
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638178114429,1638178169620
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638178169734,1638178282209
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638178282261,1638178285415
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638178285424,1638178286745
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638178286755,1638178343438
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638178343446,1638178361325
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638178361334,1638178370021
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638178370029,1638178398583
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638178398593,1638178400774
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638178400783,1638178404747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_edu,1638178404757,1638178409934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638178409943,1638178412843
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638178412852,1638178439076
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638178439085,1638178454716
jump,,1638178454717,1638178473156
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638178462662,1638178473156
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638178473167,1638178726094
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638178726153,1638178783048
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638178783100,1638178785988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638178785997,1638178788515
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638178788524,1638178878019
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638178878047,1638178881444
