event,node,start,end
form start,,1637482982357,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637482982358,1637482985946
jump,,1637482985946,1637482987757
end screen,,1637482987798,1637482988688
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637482988688,1637482990734
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637482990742,1637482991423
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637482991434,1637482995413
jump,,1637482995413,1637482997497
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637482997540,1637483053163
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637483053186,1637483085678
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637483085690,1637483261849
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637483261858,1637483262902
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637483262911,1637483264876
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637483264884,1637483270520
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637483270529,1637483272321
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637483272330,1637483276551
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637483276559,1637483282646
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637483282655,1637483288442
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637483288458,1637483320821
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637483320879,1637483322131
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637483322141,1637483332790
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637483332802,1637483337870
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637483337882,1637483341152
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637483341164,1637483342976
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637483342985,1637483344495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637483344504,1637483347534
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637483347552,1637483350490
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637483350500,1637483352233
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637483352242,1637483355089
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637483355098,1637483358596
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637483358605,1637483425478
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637483425585,1637483496309
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637483496374,1637483509153
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1637483509166,1637483511057
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637483511072,1637483517621
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637483517634,1637483531680
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637483531692,1637483533902
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637483533914,1637483535873
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637483535885,1637483538818
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637483538829,1637483569071
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637483569129,1637483621601
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637483621655,1637483660255
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637483660264,1637483664956
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637483664973,1637483679096
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637483679130,1637483684402
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637483684418,1637483688227
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637483688244,1637483692498
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637483692511,1637483696833
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637483696843,1637483698231
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637483698244,1637483701063
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637483701072,1637483704502
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637483704511,1637483706950
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637483706958,1637483708670
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637483708682,1637483720973
