event,node,start,end
form start,,1637566852409,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637566852411,1637566940517
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637566940532,1637566963462
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637566963473,1637566970304
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637566970314,1637566974828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637566974842,1637567279816
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637567279827,1637567281071
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637567281081,1637567282489
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637567282502,1637567283623
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637567283632,1637567284622
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637567284633,1637567286049
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637567286058,1637567318512
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637567318528,1637567392547
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637567392558,1637567394072
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637567394087,1637567398483
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637567398493,1637567475152
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637567475215,1637567477342
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637567477354,1637567478260
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637567478322,1637567479767
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637567479780,1637567481480
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637567481554,1637567482627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637567482637,1637567505275
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637567505289,1637567506216
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637567506232,1637567510504
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637567510516,1637567522313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637567522324,1637567536225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637567536241,1637567543148
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637567543160,1637567544819
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637567544830,1637567551359
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637567551372,1637567564955
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637567564976,1637567584697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637567584715,1637567595887
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637567595898,1637567600386
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637567600401,1637567603921
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637567603936,1637567767573
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637567767687,1637567840230
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637567840285,1637567849293
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637567849304,1637567851804
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637567851818,1637567855963
