event,node,start,end
form start,,1637670422372,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637670422373,1637670425326
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637670425337,1637670506174
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637670506184,1637670510248
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637670510262,1637670511861
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637670511871,1637670513669
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637670513684,1637670524471
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637670524480,1637670526401
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637670526413,1637670528370
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637670528380,1637670585324
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637670585384,1637670586983
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637670586995,1637670591866
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637670591876,1637670599198
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637670599206,1637670605990
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637670606000,1637670621782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637670621794,1637670623341
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637670623352,1637670632534
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637670632544,1637670642821
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637670642838,1637670644319
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637670644332,1637670650843
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637670650853,1637670657206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637670657217,1637670659384
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637670659393,1637670713969
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637670714118,1637670757310
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637670757359,1637670767658
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637670767667,1637670769935
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637670769944,1637670798746
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637670798758,1637670818947
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637670818956,1637670821457
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637670821479,1637670838023
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637670838033,1637670839084
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637670839097,1637670844037
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637670844048,1637670846989
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637670847000,1637670850417
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637670850428,1637670852427
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637670852437,1637670855998
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637670856006,1637671133981
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637671134049,1637671193386
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637671193437,1637671226953
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637671226963,1637671232270
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637671232278,1637671255465
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637671255511,1637671257412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637671257428,1637671265480
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637671265489,1637671279056
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637671279065,1637671279979
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637671279989,1637671285957
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637671285965,1637671287741
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637671287750,1637671289749
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637671289759,1637671293771
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637671293781,1637671295723
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637671295736,1637671298575
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637671298585,1637671302988
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637671303007,1637671317044
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637671317055,1637671322234
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637671322247,1637671335373
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637671335388,1637671337258
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637671337267,1637671339063
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637671339073,1637671339862
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637671339873,1637671354496
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637671354505,1637671379294
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637671379303,1637671380340
end screen,,1637671380348,1637672245860
form save,,1637672246578,
form exit,,1637672246578,
form finalize,,1637672246578,
