event,node,start,end
form start,,1637650943641,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637650943644,1637651026629
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637651026650,1637651060842
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637651060851,1637651062641
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637651062654,1637651064750
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637651064761,1637651066190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637651066204,1637651069995
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637651070007,1637651071885
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637651071901,1637651082879
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637651082889,1637651132458
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637651132516,1637651133397
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637651133407,1637651134680
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637651134739,1637651137798
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637651137809,1637651139385
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637651139454,1637651140450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637651140458,1637651158092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637651158101,1637651160476
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637651160488,1637651161728
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637651161741,1637651175477
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637651175488,1637651177058
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637651177072,1637651185090
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637651185102,1637651194197
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637651194208,1637651195737
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637651195746,1637651207919
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637651207929,1637651210550
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637651210559,1637651213533
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637651213542,1637651295004
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637651295100,1637651333382
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637651333487,1637651345159
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637651345171,1637651346599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637651346611,1637651374367
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637651374376,1637651377738
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637651377746,1637651379467
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637651379476,1637651412266
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637651412283,1637651414045
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637651414061,1637651415318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637651415330,1637651418255
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637651418267,1637651516221
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637651516292,1637651550706
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637651550776,1637651568556
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637651568564,1637651571432
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637651571451,1637651597979
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637651598026,1637651601697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637651601708,1637651608737
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637651608748,1637651619883
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637651619895,1637651624835
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637651624844,1637651625716
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637651625726,1637651628385
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637651628398,1637651630499
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637651630511,1637651637459
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637651637469,1637651642102
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637651642112,1637651649041
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637651649058,1637651650891
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637651650905,1637651652862
