event,node,start,end
form start,,1637672059640,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637672059642,1637672073122
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637672073136,1637672172826
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637672172840,1637672174434
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637672174450,1637672175925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637672175939,1637672188780
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637672188796,1637672194272
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637672194283,1637672196345
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637672196360,1637672221198
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637672221208,1637672330228
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637672330292,1637672332112
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637672332123,1637672333472
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637672333532,1637672335279
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637672335294,1637672337060
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637672337133,1637672338443
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637672338453,1637672355484
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637672355495,1637672363294
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637672363312,1637672379184
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637672379200,1637672401083
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637672401092,1637672402655
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637672402665,1637672411501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637672411515,1637672436808
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637672436818,1637672445272
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637672445285,1637672447679
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637672447702,1637672450568
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637672450577,1637672454025
