event,node,start,end
form start,,1637839533261,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637839533262,1637839536620
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637839536629,1637839632843
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637839632854,1637839634256
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637839634272,1637839635764
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637839635778,1637839638452
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637839638467,1637839647049
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637839647058,1637839649070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637839649084,1637839653620
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637839653628,1637839722874
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637839722939,1637839724510
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637839724525,1637839728398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637839728410,1637839777406
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637839777420,1637839784376
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637839784389,1637839804536
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637839804544,1637839806028
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637839806036,1637839824189
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637839824206,1637839832819
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637839832833,1637839835332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637839835346,1637839837627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637839837641,1637839870844
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637839870855,1637839872595
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637839872604,1637840053687
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637840053741,1637840161264
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637840161332,1637840187754
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637840187765,1637840200012
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637840200020,1637840240542
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637840240551,1637840245763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637840245774,1637840288691
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637840288704,1637840293617
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637840293630,1637840295340
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637840295351,1637840296674
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637840296695,1637840424072
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637840424086,1637840614813
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637840614867,1637840676984
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637840677034,1637840692762
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637840692775,1637840695746
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637840695755,1637840701963
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637840701971,1637840708951
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637840708963,1637840711070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637840711083,1637840713168
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637840713181,1637840750675
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637840750715,1637840770988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637840770998,1637840774538
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637840774551,1637840795812
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637840795837,1637840815620
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637840815633,1637840825618
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637840825627,1637840827210
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637840827224,1637840847153
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637840847164,1637840854779
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637840854788,1637840867087
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637840867096,1637840880490
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts_other,1637840880502,1637840888488
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637840888496,1637840892549
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637840892565,1637840895728
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637840895736,1637840926034
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637840926043,1637840935074
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637840935084,1637840936112
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637840936120,1637840947535
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637840947545,1637840960408
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637840960417,1637840961350
end screen,,1637840961358,1637840981519
form save,,1637840982424,
form exit,,1637840982424,
form finalize,,1637840982424,
