event,node,start,end
form start,,1638172225505,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638172225506,1638172228513
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638172228521,1638172301167
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638172301175,1638172302808
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638172302818,1638172304228
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638172304236,1638172305706
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638172305714,1638172312738
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638172312746,1638172314466
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638172314474,1638172321366
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638172321373,1638172408921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638172408973,1638172410204
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638172410212,1638172416190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638172416199,1638172442456
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638172442464,1638172451499
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638172451507,1638172462255
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638172462263,1638172463918
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638172463926,1638172473842
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638172473850,1638172485064
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638172485072,1638172496135
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638172496145,1638172501671
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638172501679,1638172502652
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638172502660,1638172515685
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638172515693,1638172536548
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638172536557,1638172542385
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638172542393,1638172657297
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638172657366,1638172749773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638172749817,1638172753544
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638172753553,1638172756918
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638172756926,1638172798065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638172798073,1638172800523
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638172800531,1638172805794
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638172805802,1638172815938
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638172815947,1638172828285
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638172828294,1638172832626
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638172832634,1638172866142
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638172866150,1638172868583
