event,node,start,end
form start,,1637748486315,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637748486317,1637748489673
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637748489683,1637748511304
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637748511316,1637748513128
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637748513138,1637748514745
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637748514758,1637748516527
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637748516539,1637748523265
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637748523274,1637748533422
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637748533435,1637748549627
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637748549635,1637748598914
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637748598979,1637748600496
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637748600505,1637748607759
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637748607819,1637748622497
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637748622508,1637748635406
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637748635511,1637748636540
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637748636550,1637748645629
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637748645643,1637748652200
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637748652208,1637748653647
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637748653662,1637748665792
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637748665801,1637748667723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637748667737,1637748706789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637748706804,1637748709225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637748709240,1637748710821
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637748710833,1637748714601
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637748714610,1637748731678
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637748731687,1637748734600
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637748734609,1637748847063
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637748847190,1637748900605
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637748900661,1637748903156
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637748903171,1637748904812
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637748904826,1637748908106
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637748908114,1637748909051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637748909060,1637748910227
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637748910236,1637748921795
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637748921845,1637748923090
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637748923100,1637748924370
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637748924384,1637748938219
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637748938232,1637748940907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637748940918,1637748958804
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637748958818,1637748964537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637748964551,1637748967260
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637748967270,1637748977782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637748977792,1637748979812
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637748979823,1637748981070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637748981080,1637748981721
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637748981731,1637748983471
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637748983487,1637748986315
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637748986330,1637749008172
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637749008181,1637749148831
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637749148890,1637749210612
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637749210683,1637749242077
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637749242091,1637749243819
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637749243831,1637749247701
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637749247715,1637749249422
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637749249435,1637749299472
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637749299502,1637749304322
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637749304336,1637749311604
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637749311648,1637749315020
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637749315032,1637749327906
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637749327921,1637749340322
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637749340336,1637749342023
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637749342036,1637749343029
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637749343038,1637749343953
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637749343966,1637749345401
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637749345410,1637749346220
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637749346232,1637749348613
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637749348625,1637749353167
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637749353176,1637749363701
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637749363710,1637749377472
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637749377487,1637749385867
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637749385876,1637749387251
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637749387263,1637749394699
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637749394711,1637749395748
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637749395758,1637749398625
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637749398635,1637749410713
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637749410722,1637749411698
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637749411707,1637749421618
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637749421628,1637749422352
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637749422368,1637749439305
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637749439314,1637749440102
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637749440111,1637749454835
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637749454844,1637749477292
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637749477301,1637749478131
end screen,,1637749478146,1637749508947
form save,,1637749509388,
form exit,,1637749509388,
form resume,,1637749572512,
jump,,1637749572512,1637749641472
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637749623199,1637749641472
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637749641594,1637749650572
form save,,1637749650960,
form exit,,1637749650960,
form resume,,1637759169974,
jump,,1637759169974,1637759174985
end screen,,1637759175010,1637759176239
form save,,1637759177531,
form exit,,1637759177531,
form finalize,,1637759177532,
