event,node,start,end
form start,,1637487647097,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637487647099,1637487650171
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637487650180,1637487705405
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637487705414,1637487706852
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637487706865,1637487708280
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637487708291,1637487709616
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637487709634,1637487714738
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637487714745,1637487716477
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637487716487,1637487738459
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637487738467,1637487822669
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637487822728,1637487825068
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637487825077,1637487829199
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637487829208,1637487843121
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637487843129,1637487853009
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637487853018,1637487855926
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637487855934,1637487856775
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637487856783,1637487857604
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637487857618,1637487859067
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637487859125,1637487861649
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637487861657,1637487877419
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637487877511,1637487878840
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637487878848,1637487879305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637487879315,1637487879974
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637487879983,1637487882990
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637487882999,1637487884671
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637487884686,1637487887646
