event,node,start,end
form start,,1638086107862,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638086107863,1638086110087
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638086110095,1638086184762
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638086184771,1638086187532
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638086187540,1638086188818
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638086188829,1638086190214
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638086190224,1638086192907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638086192915,1638086194935
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638086194945,1638086199956
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638086199964,1638086240332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638086240387,1638086241516
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638086241523,1638086243778
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638086243788,1638086245008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638086245016,1638086245690
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638086245698,1638086261964
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638086261973,1638086265921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638086265929,1638086271024
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638086271032,1638086271922
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638086271930,1638086284008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638086284016,1638086285704
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638086285712,1638086309991
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638086309998,1638086318336
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638086318344,1638086322078
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638086322085,1638086323574
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638086323581,1638086338336
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638086338343,1638086339932
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638086339939,1638086343190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638086343197,1638086345318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638086345326,1638086356658
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638086356667,1638086415647
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638086415757,1638086488422
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638086488464,1638086497495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638086497503,1638086498874
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638086498882,1638086506007
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638086506015,1638086511227
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638086511235,1638086512457
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638086512465,1638086513871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638086513878,1638086530316
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638086530324,1638086556231
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock_other,1638086556239,1638086561166
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638086561176,1638086565488
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_other,1638086565496,1638086579503
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638086579511,1638086600467
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638086600476,1638086633549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638086633599,1638086635676
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_other,1638086635684,1638086636624
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638086636632,1638086638120
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock_other,1638086638130,1638086639964
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638086639971,1638086641962
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638086641970,1638086642909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638086642917,1638086644386
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638086644393,1638086645170
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638086645178,1638086646534
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock_other,1638086646542,1638086649989
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638086649999,1638086650853
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_other,1638086650861,1638086651701
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638086651709,1638086652866
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638086652874,1638086733996
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638086734051,1638086791196
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638086791239,1638086817843
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638086817852,1638086822082
