event,node,start,end
form start,,1638102067298,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638102067300,1638102069816
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638102069825,1638102132956
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638102132964,1638102134673
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638102134682,1638102137045
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638102137053,1638102142231
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638102142239,1638102147318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638102147327,1638102149114
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638102149123,1638102150360
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638102150369,1638102151092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638102151101,1638102151940
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638102151948,1638102152505
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638102152514,1638102155431
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638102155440,1638102205798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638102205861,1638102207314
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638102207323,1638102213864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638102213874,1638102221013
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638102221023,1638102231469
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638102231480,1638102237620
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638102237629,1638102239399
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638102239408,1638102261310
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638102261319,1638102271168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638102271176,1638102273844
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638102273852,1638102279331
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638102279340,1638102281292
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638102281300,1638102289206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638102289214,1638102291948
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638102291958,1638102292780
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638102292787,1638102293976
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638102293986,1638102310268
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638102310278,1638102311734
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638102311742,1638102438916
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638102439005,1638102492356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638102492404,1638102501944
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638102501953,1638102519549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638102519559,1638102543871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638102543882,1638102547079
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638102547089,1638102563124
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638102563134,1638102565156
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638102565166,1638102566995
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638102567004,1638102579148
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638102579156,1638102724397
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638102724455,1638102801131
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638102801183,1638102813332
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638102813339,1638102815344
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638102815404,1638102865664
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1638102865674,1638102866926
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638102866937,1638102868723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1638102868732,1638102870220
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638102870231,1638102886679
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638102886712,1638102892229
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638102892251,1638102903783
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638102903793,1638102927839
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638102927847,1638102934155
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638102934164,1638102938926
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638102938935,1638102942617
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638102942627,1638102944512
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638102944521,1638102960853
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1638102960862,1638102961784
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638102961792,1638102969433
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638102969443,1638102986006
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638102986015,1638103025803
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638103025812,1638103037407
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638103037417,1638103049842
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638103049852,1638103050806
end screen,,1638103050815,1638103073510
form save,,1638103073730,
form exit,,1638103073730,
form finalize,,1638103073730,
