event,node,start,end
form start,,1637663029079,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637663029080,1637663093257
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637663093268,1637663153774
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637663153784,1637663159344
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637663159353,1637663161124
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637663161136,1637663164513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637663164522,1637663219368
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637663219377,1637663220971
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637663220982,1637663229868
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637663229876,1637663342912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637663342984,1637663344320
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637663344334,1637663354292
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637663354303,1637663361172
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637663361181,1637663369197
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637663369205,1637663376919
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637663376932,1637663379094
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637663379103,1637663391980
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637663391993,1637663403333
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637663403341,1637663404810
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637663404819,1637663406514
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637663406528,1637663411560
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637663411569,1637663419757
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637663419766,1637663476535
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637663476682,1637663504884
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637663504934,1637663508758
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637663508770,1637663514778
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637663514829,1637663529326
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637663529335,1637663540196
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637663540207,1637663545985
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637663545994,1637663549596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637663549606,1637663552742
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637663552754,1637663579411
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637663579428,1637663581601
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637663581613,1637663583426
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637663583438,1637663594554
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637663594563,1637663783524
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637663783585,1637663846568
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637663846622,1637663859790
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637663859799,1637663861987
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637663861996,1637663911215
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637663911247,1637663919690
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637663919705,1637663923653
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637663923662,1637663935496
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637663935504,1637663949669
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637663949685,1637663951517
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637663951530,1637663968817
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637663968832,1637663973559
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637663973568,1637663980448
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637663980458,1637663983320
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637663983329,1637663987156
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637663987171,1637663997697
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637663997706,1637664011469
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637664011481,1637664012330
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637664012339,1637664072238
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637664072249,1637664081907
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637664081916,1637664082932
end screen,,1637664082941,1637664159814
form save,,1637664160873,
form exit,,1637664160873,
form finalize,,1637664160873,
