event,node,start,end
form start,,1637564775408,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637564775412,1637564789627
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637564789644,1637564944339
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637564944353,1637564946104
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637564946113,1637564947624
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637564947640,1637564949834
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637564949846,1637564952005
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637564952017,1637564954372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637564954381,1637564963188
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637564963197,1637564966670
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637564966679,1637564968412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637564968426,1637564979325
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637564979338,1637565088507
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637565088568,1637565090056
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637565090068,1637565092488
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637565092497,1637565098892
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637565098901,1637565108854
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637565108863,1637565109726
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637565109738,1637565111692
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637565111700,1637565128940
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637565128949,1637565133821
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637565133829,1637565161916
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637565161927,1637565172169
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637565172185,1637565174277
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637565174288,1637565176791
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637565176802,1637565188260
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637565188270,1637565191561
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637565191578,1637565195122
