event,node,start,end
form start,,1637749664582,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637749664583,1637749668310
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637749668320,1637749739048
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637749739061,1637749745624
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637749745636,1637749747127
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637749747141,1637749748511
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637749748522,1637749774769
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637749774778,1637749776635
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637749776648,1637749790940
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637749790949,1637750016897
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637750016960,1637750018735
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637750018749,1637750027052
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637750027114,1637750029352
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637750029368,1637750031871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637750031880,1637750038125
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637750038134,1637750043934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637750043944,1637750048575
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637750048584,1637750050967
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637750050977,1637750075294
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637750075303,1637750077621
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637750077630,1637750110828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637750110838,1637750133369
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637750133378,1637750134963
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637750134976,1637750143058
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637750143069,1637750160376
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637750160390,1637750163693
