event,node,start,end
form start,,1638098462890,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638098462890,1638098465811
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638098465819,1638098493540
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638098493547,1638098495960
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638098495971,1638098497130
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638098497139,1638098498594
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638098498602,1638098507886
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638098507894,1638098510230
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638098510238,1638098523846
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638098523854,1638098555626
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638098555680,1638098560900
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638098560909,1638098563295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638098563302,1638098571373
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638098571382,1638098581730
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638098581740,1638098596177
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638098596186,1638098597706
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638098597714,1638098599585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638098599593,1638098600782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638098600790,1638098606118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638098606126,1638098624023
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638098624031,1638098625486
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638098625494,1638098633166
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638098633174,1638098634978
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638098634986,1638098648312
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638098648321,1638098715831
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638098715931,1638098768622
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638098768662,1638098772326
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638098772335,1638098779275
