event,node,start,end
form start,,1638185304364,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638185304365,1638185307464
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638185307473,1638185309409
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638185309417,1638185316918
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638185316929,1638185318586
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638185318594,1638185320182
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638185320192,1638185322941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638185322949,1638185328460
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638185328468,1638185348477
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638185348485,1638185355986
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638185356044,1638185359067
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638185359075,1638185470345
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638185470401,1638185471444
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638185471453,1638185476166
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638185476175,1638185487504
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638185487513,1638185503396
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638185503405,1638185519057
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638185519065,1638185520786
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638185520794,1638185548747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638185548755,1638185556678
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638185556685,1638185559570
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638185559578,1638185561032
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638185561041,1638185563609
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638185563618,1638185569495
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638185569503,1638185660656
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638185660744,1638185740178
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638185740229,1638185749751
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638185749759,1638185761336
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638185761345,1638185783813
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638185783823,1638185786407
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638185786415,1638185789268
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638185789277,1638185821984
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638185821994,1638185825656
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638185825664,1638185836445
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638185836455,1638185841417
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638185841425,1638185863177
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638185863185,1638186010518
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638186010569,1638186069417
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638186069461,1638186079888
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638186079897,1638186090844
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638186090853,1638186112073
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638186112103,1638186114616
