event,node,start,end
form start,,1637584277401,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637584277402,1637584281685
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637584281694,1637584402609
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637584402618,1637584424546
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637584424556,1637584428166
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637584428174,1637584429572
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637584429585,1637584434893
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637584434901,1637584436492
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637584436503,1637584441140
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637584441152,1637584443074
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637584443086,1637584446017
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637584446026,1637584447466
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637584447527,1637584449383
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637584449399,1637584512018
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637584512076,1637584512924
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637584512934,1637584514121
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637584514183,1637584515153
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637584515161,1637584520328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637584520336,1637584529977
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637584529985,1637584531322
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637584531333,1637584541849
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637584541858,1637584543511
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637584543520,1637584548729
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637584548741,1637584549779
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637584549789,1637584555328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637584555342,1637584562839
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637584562852,1637584565150
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637584565158,1637584576664
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637584576673,1637584589698
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637584589707,1637584591949
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637584591962,1637584597859
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637584597867,1637584598952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637584598961,1637584602697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637584602705,1637584615887
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637584615897,1637584812159
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637584812281,1637584868941
