event,node,start,end
form start,,1637755045935,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637755045937,1637755059433
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637755059442,1637755077550
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637755077561,1637755079120
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637755079132,1637755080428
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637755080442,1637755082111
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637755082122,1637755087257
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637755087267,1637755088857
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637755088869,1637755091794
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637755091803,1637755157399
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637755157457,1637755158974
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637755158984,1637755161463
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637755161473,1637755174965
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637755174975,1637755195368
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637755195378,1637755204608
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637755204617,1637755206227
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637755206243,1637755219242
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637755219251,1637755227690
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637755227700,1637755229271
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637755229279,1637755232047
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637755232061,1637755241662
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637755241671,1637755246852
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637755246862,1637755347344
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637755347454,1637755390708
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637755390788,1637755421935
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637755421950,1637755423433
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637755423451,1637755456173
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637755456182,1637755466414
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637755466423,1637755497074
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637755497084,1637755499864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637755499874,1637755501852
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637755501861,1637755514837
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637755514845,1637755516351
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637755516365,1637755543568
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637755543577,1637755715256
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637755715318,1637755776880
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637755776933,1637755787390
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637755787399,1637755801905
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637755801913,1637755807370
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637755807378,1637755845753
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637755845791,1637755849272
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637755849281,1637755864118
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637755864129,1637755880218
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637755880228,1637755881715
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637755881727,1637755884224
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637755884233,1637755909114
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637755909125,1637755915611
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637755915620,1637755917799
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637755917825,1637755920312
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637755920322,1637755937736
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637755937745,1637755948007
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637755948016,1637755949301
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637755949312,1637756015218
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637756015226,1637756040410
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637756040418,1637756041402
end screen,,1637756041410,1637756062466
form save,,1637756063051,
form exit,,1637756063051,
form finalize,,1637756063051,
