event,node,start,end
form start,,1637742958876,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637742958877,1637742962827
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637742962841,1637743023293
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637743023309,1637743024917
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637743024934,1637743026428
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637743026442,1637743035737
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637743035750,1637743040303
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637743040313,1637743041747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637743041760,1637743081823
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637743081841,1637743114990
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637743115057,1637743116954
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637743116963,1637743126954
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637743126968,1637743135207
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637743135223,1637743141358
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637743141372,1637743157561
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637743157570,1637743159296
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637743159305,1637743167429
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637743167441,1637743178546
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637743178560,1637743181600
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637743181612,1637743189932
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637743189946,1637743192044
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637743192058,1637743197333
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637743197341,1637743202421
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637743202430,1637743207127
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637743207136,1637743210688
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637743210697,1637743432541
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637743432640,1637743528915
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637743528968,1637743553443
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1637743553457,1637743564709
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637743564724,1637743566089
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1637743566099,1637743572552
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637743572561,1637743576533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637743576546,1637743597073
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637743597088,1637743612864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637743612878,1637743614311
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637743614324,1637743717070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_new_member,1637743717080,1637743721669
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637743721679,1637743728226
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637743728239,1637743730609
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637743730623,1637743783463
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637743783474,1637743966125
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637743966188,1637744055673
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637744055726,1637744069156
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637744069168,1637744070726
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637744070741,1637744108131
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637744108167,1637744111205
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637744111218,1637744122575
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637744122584,1637744137656
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/worse_relations_relatives_why,1637744137671,1637744146758
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637744146767,1637744152475
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637744152490,1637744154713
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637744154727,1637744158771
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637744158781,1637744179005
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637744179014,1637744202911
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637744202924,1637744219010
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637744219022,1637744233063
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637744233078,1637744234713
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637744234726,1637744284655
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637744284667,1637744360313
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637744360327,1637744361756
end screen,,1637744361769,1637744401847
form save,,1637744402392,
form exit,,1637744402392,
form finalize,,1637744402393,
form resume,,1637759118770,
jump,,1637759118770,1637759124559
end screen,,1637759124591,1637759126313
form save,,1637759126865,
form exit,,1637759126865,
form finalize,,1637759126865,
