event,node,start,end
form start,,1637757003950,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637757003951,1637757007569
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637757007579,1637757173756
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637757173766,1637757174824
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637757174834,1637757176228
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637757176237,1637757186894
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637757186903,1637757188195
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637757188204,1637757196607
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637757196616,1637757232755
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637757232764,1637757234114
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637757234126,1637757239503
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637757239514,1637757242021
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637757242032,1637757244454
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637757244463,1637757246678
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637757246688,1637757251312
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637757251320,1637757253512
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637757253526,1637757255712
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637757255726,1637757269687
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637757269696,1637757271367
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637757271432,1637757281577
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637757281585,1637757317675
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637757317734,1637757319017
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637757319026,1637757319960
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637757319974,1637757320757
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637757320766,1637757322100
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637757322110,1637757322561
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637757322574,1637757322940
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637757322950,1637757323925
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637757323934,1637757325436
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637757325502,1637757332607
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637757332615,1637757376412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637757376471,1637757377376
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637757377385,1637757382177
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637757382187,1637757394339
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637757394359,1637757395805
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637757395814,1637757400478
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637757400487,1637757401233
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637757401248,1637757402030
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637757402039,1637757402995
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637757403011,1637757404002
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637757404013,1637757406184
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637757406251,1637757406665
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637757406674,1637757407336
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637757407345,1637757408028
