event,node,start,end
form start,,1637661261491,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637661261493,1637661264408
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637661264418,1637661312791
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637661312804,1637661314459
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637661314475,1637661317243
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637661317257,1637661318803
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637661318816,1637661325905
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637661325914,1637661327977
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637661327987,1637661338406
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637661338415,1637661387437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637661387499,1637661388886
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637661388895,1637661393445
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637661393453,1637661399475
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637661399484,1637661402780
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637661402798,1637661429034
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637661429044,1637661430654
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637661430664,1637661438204
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637661438216,1637661443890
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637661443898,1637661448505
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637661448514,1637661455897
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637661455910,1637661466233
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637661466242,1637661467917
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637661467925,1637661472206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637661472215,1637661478649
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637661478658,1637661480949
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637661480958,1637661541750
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637661541847,1637661642304
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637661642363,1637661653225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637661653235,1637661660042
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637661660055,1637661665139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637661665148,1637661668714
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637661668726,1637661671477
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637661671492,1637661692157
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637661692172,1637661694453
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637661694467,1637661697268
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637661697283,1637661708333
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637661708342,1637661757407
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637661757469,1637661813319
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637661813377,1637661832243
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637661832252,1637661838662
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637661838670,1637661870221
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637661870261,1637661885181
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637661885190,1637661890212
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637661890251,1637661893390
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637661893404,1637661908714
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637661908723,1637661925772
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637661925781,1637661929754
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637661929763,1637661931724
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637661931735,1637661947354
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637661947364,1637661952771
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637661952780,1637661960159
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637661960169,1637661962952
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637661962962,1637661964612
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637661964622,1637661970274
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637661970282,1637661980679
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637661980688,1637661981970
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637661981981,1637662024815
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637662024824,1637662036686
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637662036696,1637662037650
end screen,,1637662037664,1637662368447
form save,,1637662369435,
form exit,,1637662369436,
form finalize,,1637662369436,
