event,node,start,end
form start,,1638171890677,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638171890678,1638171893321
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638171893331,1638171894851
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638171894865,1638171896508
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638171896521,1638171898326
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638171898334,1638172042798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1638172042807,1638172045126
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1638172045135,1638172047668
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638172047676,1638172053686
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638172053695,1638172055780
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1638172055791,1638172057045
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638172057054,1638172145799
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638172145808,1638172245872
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638172245930,1638172247655
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638172247664,1638172254022
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638172254030,1638172260755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638172260764,1638172280488
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638172280496,1638172317676
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638172317684,1638172320169
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638172320178,1638172343743
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638172343753,1638172346220
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638172346228,1638172371871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638172371880,1638172373051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638172373059,1638172374564
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638172374572,1638172377274
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638172377281,1638172382145
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638172382154,1638172417421
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638172417430,1638172420097
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638172420106,1638172432832
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638172432840,1638172446164
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638172446173,1638172463604
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638172463614,1638172701519
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638172701597,1638172817185
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638172817227,1638172822335
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638172822343,1638172824563
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638172824572,1638172888549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638172888558,1638172892721
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638172892730,1638172918327
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638172918337,1638172963990
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638172963998,1638173102488
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638173102546,1638173211294
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638173211344,1638173234730
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638173234738,1638173236026
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638173236035,1638173266600
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638173266629,1638173270139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638173270148,1638173299498
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638173299506,1638173311550
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638173311561,1638173313644
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638173313652,1638173317602
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638173317611,1638173319463
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638173319472,1638173321574
