event,node,start,end
form start,,1637827147406,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637827147407,1637827150117
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637827150127,1637827157210
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637827157219,1637827208096
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637827208108,1637827209927
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637827209938,1637827221059
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637827221068,1637827223225
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637827223237,1637827224738
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637827224748,1637827226189
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637827226199,1637827232201
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637827232210,1637827238955
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637827238973,1637827239790
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637827239799,1637827240997
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637827241010,1637827242472
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637827242484,1637827247079
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637827247089,1637827249055
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637827249068,1637827262025
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637827262034,1637827354423
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637827354489,1637827355812
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637827355821,1637827363989
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637827364000,1637827397044
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637827397053,1637827398075
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637827398085,1637827400664
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637827400673,1637827401715
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637827401734,1637827403943
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637827403954,1637827405289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637827405302,1637827421817
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637827421841,1637827423395
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637827423403,1637827440650
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637827440664,1637827451438
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637827451447,1637827467184
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637827467198,1637827469772
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637827469784,1637827484777
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637827484794,1637827487197
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637827487210,1637827874140
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637827874228,1637827913628
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637827913683,1637827918990
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637827918999,1637827923599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637827923644,1637827938052
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637827938066,1637827939313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637827939325,1637828077522
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637828077531,1637828093179
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637828093188,1637828097767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637828097776,1637828098357
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637828098371,1637828103023
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637828103032,1637828104601
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637828104609,1637828105632
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637828105641,1637828106516
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637828106525,1637828108473
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637828108483,1637828109588
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637828109597,1637828111419
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637828111428,1637828136211
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637828136224,1637828144742
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637828144757,1637828739062
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637828739121,1637828893591
