event,node,start,end
form start,,1638087171339,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638087171340,1638087201276
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638087201285,1638087266992
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638087267000,1638087289118
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638087289126,1638087336763
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638087336771,1638087422118
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638087422126,1638087442815
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638087442823,1638087444422
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638087444433,1638087447004
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638087447012,1638087449332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638087449340,1638087451044
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638087451053,1638087451959
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638087451966,1638087460054
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638087460062,1638087462497
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638087462507,1638087477659
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638087477667,1638087539330
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638087539388,1638087540332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638087540340,1638087545585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638087545595,1638087571436
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638087571443,1638087573398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638087573405,1638087578135
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638087578143,1638087581527
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638087581535,1638087603704
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638087603712,1638087604651
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638087604658,1638087610951
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638087610959,1638087611666
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638087611675,1638087622522
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638087622530,1638087624267
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638087624277,1638087656252
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638087656261,1638087657466
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638087657476,1638087661223
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638087661231,1638087671962
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638087671971,1638087674240
